Name,Universe,Alignment,Strength,Speed,Intelligence,Combat Skill,Weapon,Power Score,Popularity Score
Iron Man #1,Marvel,Anti-Hero,1.0,1.0,2.0,5,Sword,65,40
Batman #1,DC,Anti-Hero,5.0,4.0,6.0,2,Shield,94,98
Joker #1,Marvel,Hero,3.0,9.0,2.0,5,Hammer,62,40
Thor #1,Marvel,Hero,1.0,6.0,2.0,8,Claws,83,91
Thanos #1,Marvel,Villain,4.0,3.0,2.0,9,Claws,78,77
Wonder Woman #1,DC,Hero,5.0,1.0,,2,Shield,54,33
Spider-Man #1,Marvel,Anti-Hero,7.0,,2.0,3,Claws,95,6
Green Lantern #1,Marvel,Anti-Hero,1.0,9.0,4.0,3,Bow,88,88
Deadpool #1,Marvel,Hero,3.0,3.0,9.0,1,Hammer,43,19
Black Panther #1,DC,Anti-Hero,2.0,9.0,6.0,8,Psychic,68,80
Loki #1,Marvel,Anti-Hero,9.0,7.0,1.0,6,Claws,61,40
Captain America #1,Marvel,Hero,10.0,4.0,8.0,8,Sword,64,92
Superman #1,Marvel,Hero,6.0,3.0,7.0,9,Bow,52,97
Harley Quinn #1,Marvel,Anti-Hero,10.0,10.0,10.0,5,Claws,57,59
Flash #1,DC,Anti-Hero,3.0,5.0,3.0,3,Bow,72,59
Doctor Strange #1,Marvel,Anti-Hero,,5.0,1.0,5,None,55,48
Hulk #1,DC,Villain,8.0,,5.0,5,Psychic,84,41
Aquaman #1,DC,Villain,2.0,9.0,4.0,5,Magic,81,13
Catwoman #1,DC,Villain,6.0,4.0,10.0,3,Sword,83,45
Wolverine #1,Marvel,Hero,7.0,5.0,8.0,10,Sword,41,89
Iron Man #2,DC,Villain,2.0,4.0,1.0,4,Hammer,94,53
Batman #2,Marvel,Hero,10.0,5.0,10.0,9,Bow,74,42
Joker #2,DC,Hero,2.0,7.0,1.0,10,Shield,81,100
Thor #2,DC,Villain,10.0,,4.0,9,Sword,73,63
Thanos #2,DC,Villain,1.0,7.0,8.0,2,Bow,69,27
Wonder Woman #2,DC,Villain,8.0,5.0,5.0,8,Bow,98,38
Spider-Man #2,DC,Anti-Hero,1.0,,2.0,8,Tech,94,60
Green Lantern #2,DC,Villain,9.0,10.0,6.0,7,,52,7
Deadpool #2,DC,Anti-Hero,6.0,7.0,5.0,8,,52,5
Black Panther #2,DC,Hero,7.0,10.0,,3,None,57,45
Loki #2,Marvel,Anti-Hero,10.0,5.0,3.0,6,Magic,71,58
Captain America #2,Marvel,Villain,7.0,3.0,9.0,1,Claws,71,31
Superman #2,DC,Hero,10.0,7.0,7.0,7,Shield,74,23
Harley Quinn #2,DC,Hero,3.0,2.0,7.0,1,Claws,98,42
Flash #2,DC,Hero,2.0,9.0,6.0,9,Claws,78,10
Doctor Strange #2,Marvel,Anti-Hero,9.0,10.0,8.0,1,Hammer,85,32
Hulk #2,DC,Villain,8.0,10.0,4.0,1,Claws,91,53
Aquaman #2,Marvel,Hero,10.0,1.0,8.0,7,Magic,68,30
Catwoman #2,Marvel,Hero,7.0,6.0,4.0,2,Sword,88,39
Wolverine #2,Marvel,Hero,9.0,7.0,8.0,5,Sword,68,31
Iron Man #3,Marvel,Anti-Hero,4.0,8.0,9.0,8,Tech,92,82
Batman #3,Marvel,Anti-Hero,4.0,10.0,3.0,8,Shield,83,100
Joker #3,DC,Villain,,9.0,3.0,3,,96,2
Thor #3,DC,Anti-Hero,8.0,2.0,2.0,7,Hammer,55,78
Thanos #3,DC,Hero,3.0,10.0,10.0,3,Magic,95,77
Wonder Woman #3,DC,Villain,7.0,2.0,3.0,6,Tech,83,93
Spider-Man #3,DC,Hero,,5.0,3.0,6,Shield,86,12
Green Lantern #3,Marvel,Hero,2.0,5.0,5.0,3,,96,39
Deadpool #3,DC,Anti-Hero,7.0,6.0,5.0,7,Claws,49,66
Black Panther #3,DC,Villain,6.0,3.0,2.0,3,Claws,69,96
Loki #3,Marvel,Anti-Hero,3.0,,10.0,8,Tech,64,13
Captain America #3,DC,Anti-Hero,9.0,1.0,6.0,10,Magic,78,46
Superman #3,Marvel,Villain,10.0,6.0,5.0,4,Magic,59,27
Harley Quinn #3,DC,Hero,6.0,4.0,6.0,1,None,44,17
Flash #3,Marvel,Hero,10.0,1.0,1.0,4,Psychic,40,95
Doctor Strange #3,DC,Villain,10.0,7.0,5.0,7,Shield,69,98
Hulk #3,DC,Hero,6.0,9.0,9.0,4,Magic,88,60
Aquaman #3,Marvel,Villain,1.0,4.0,10.0,6,Sword,42,64
Catwoman #3,Marvel,Villain,4.0,4.0,,9,Tech,84,88
Wolverine #3,Marvel,Anti-Hero,10.0,6.0,1.0,1,None,53,35
Iron Man #4,Marvel,Villain,6.0,,10.0,5,,95,70
Batman #4,Marvel,Anti-Hero,6.0,6.0,9.0,7,Hammer,69,83
Joker #4,Marvel,Hero,5.0,7.0,10.0,1,Bow,89,30
Thor #4,Marvel,Hero,1.0,10.0,9.0,4,Claws,43,71
Thanos #4,Marvel,Hero,,10.0,9.0,6,Hammer,57,74
Wonder Woman #4,DC,Hero,5.0,3.0,6.0,2,Shield,76,96
Spider-Man #4,DC,Anti-Hero,5.0,7.0,8.0,10,Sword,64,98
Green Lantern #4,Marvel,Hero,7.0,3.0,1.0,5,Hammer,87,63
Deadpool #4,DC,Villain,4.0,2.0,10.0,10,Psychic,40,28
Black Panther #4,DC,Villain,6.0,10.0,4.0,1,Bow,92,60
Loki #4,DC,Villain,4.0,4.0,1.0,6,Shield,85,79
