Identity  : 	id10270
Reference : 	8jEAjG6SegY
Offset    : 	-1
FV Conf   : 	20.852
ASD Conf  : 	6.138

FRAME 	X 	Y 	W 	H 
019297 	204 	115 	91 	91 
019298 	204 	115 	91 	91 
019299 	204 	105 	91 	91 
019300 	204 	105 	91 	91 
019301 	204 	105 	91 	91 
019302 	204 	105 	91 	91 
019303 	204 	95 	91 	91 
019304 	204 	95 	91 	91 
019305 	204 	95 	91 	91 
019306 	194 	95 	91 	91 
019307 	194 	95 	91 	91 
019308 	194 	95 	91 	91 
019309 	194 	95 	91 	91 
019310 	194 	95 	91 	91 
019311 	194 	95 	91 	91 
019312 	194 	95 	91 	91 
019313 	194 	95 	91 	91 
019314 	194 	95 	91 	91 
019315 	194 	95 	91 	91 
019316 	194 	95 	91 	91 
019317 	194 	95 	91 	91 
019318 	194 	95 	91 	91 
019319 	194 	95 	91 	91 
019320 	194 	95 	91 	91 
019321 	194 	95 	91 	91 
019322 	194 	95 	91 	91 
019323 	194 	95 	91 	91 
019324 	194 	95 	91 	91 
019325 	194 	95 	91 	91 
019326 	194 	95 	91 	91 
019327 	194 	95 	91 	91 
019328 	194 	95 	91 	91 
019329 	194 	95 	91 	91 
019330 	194 	95 	91 	91 
019331 	194 	95 	91 	91 
019332 	194 	95 	91 	91 
019333 	194 	95 	91 	91 
019334 	173 	78 	109 	109 
019335 	194 	85 	91 	91 
019336 	184 	85 	91 	91 
019337 	184 	85 	91 	91 
019338 	184 	85 	91 	91 
019339 	161 	66 	109 	109 
019340 	161 	66 	109 	109 
019341 	174 	85 	91 	91 
019342 	174 	85 	91 	91 
019343 	161 	78 	109 	109 
019344 	161 	78 	109 	109 
019345 	161 	78 	109 	109 
019346 	164 	95 	91 	91 
019347 	164 	95 	91 	91 
019348 	164 	95 	91 	91 
019349 	164 	95 	91 	91 
019350 	174 	105 	91 	91 
019351 	174 	105 	91 	91 
019352 	174 	105 	91 	91 
019353 	174 	105 	91 	91 
019354 	174 	105 	91 	91 
019355 	174 	105 	91 	91 
019356 	161 	90 	109 	109 
019357 	161 	90 	109 	109 
019358 	161 	90 	109 	109 
019359 	161 	90 	109 	109 
019360 	161 	90 	109 	109 
019361 	161 	90 	109 	109 
019362 	174 	95 	91 	91 
019363 	161 	78 	109 	109 
019364 	174 	95 	91 	91 
019365 	174 	95 	91 	91 
019366 	174 	95 	91 	91 
019367 	174 	95 	91 	91 
019368 	174 	95 	91 	91 
019369 	174 	95 	91 	91 
019370 	174 	95 	91 	91 
019371 	174 	95 	91 	91 
019372 	174 	95 	91 	91 
019373 	174 	95 	91 	91 
019374 	174 	95 	91 	91 
019375 	161 	90 	109 	109 
019376 	164 	95 	91 	91 
019377 	164 	105 	91 	91 
019378 	164 	105 	91 	91 
019379 	164 	105 	91 	91 
019380 	164 	105 	91 	91 
019381 	154 	105 	91 	91 
019382 	154 	105 	91 	91 
019383 	154 	105 	91 	91 
019384 	144 	105 	91 	91 
019385 	144 	105 	91 	91 
019386 	126 	90 	108 	109 
019387 	126 	90 	108 	109 
019388 	134 	95 	91 	91 
019389 	134 	95 	91 	91 
019390 	134 	95 	91 	91 
019391 	134 	95 	91 	91 
019392 	134 	95 	91 	91 
019393 	126 	78 	108 	109 
019394 	126 	78 	108 	109 
019395 	126 	78 	108 	109 
019396 	144 	85 	91 	91 
019397 	154 	85 	91 	91 
019398 	154 	85 	91 	91 
019399 	150 	78 	108 	109 
019400 	164 	85 	91 	91 
019401 	164 	85 	91 	91 
019402 	174 	85 	91 	91 
019403 	174 	85 	91 	91 
019404 	174 	75 	91 	91 
019405 	174 	75 	91 	91 
019406 	184 	75 	91 	91 
019407 	184 	75 	91 	91 
019408 	194 	85 	91 	91 
019409 	194 	85 	91 	91 
019410 	194 	75 	91 	91 
019411 	204 	85 	91 	91 
019412 	204 	75 	91 	91 
019413 	204 	75 	91 	91 
019414 	209 	75 	91 	91 
019415 	214 	75 	91 	91 
019416 	209 	66 	109 	109 
019417 	224 	75 	91 	91 
019418 	224 	75 	91 	91 
019419 	221 	66 	109 	109 
019420 	221 	66 	109 	109 
019421 	234 	85 	90 	91 
019422 	221 	78 	109 	109 
019423 	234 	85 	90 	91 
019424 	221 	78 	109 	109 
019425 	221 	78 	109 	109 
019426 	221 	78 	109 	109 
019427 	224 	85 	91 	91 
019428 	224 	85 	91 	91 
019429 	224 	85 	91 	91 
