Identity  : 	id10270
Reference : 	GWXujl-xAVM
Offset    : 	-1
FV Conf   : 	19.626
ASD Conf  : 	7.598

FRAME 	X 	Y 	W 	H 
005420 	138 	89 	224 	224 
005421 	138 	89 	224 	224 
005422 	138 	89 	224 	224 
005423 	138 	89 	224 	224 
005424 	138 	89 	224 	224 
005425 	156 	95 	187 	186 
005426 	138 	64 	224 	224 
005427 	138 	64 	224 	224 
005428 	138 	64 	224 	224 
005429 	138 	64 	224 	224 
005430 	113 	64 	224 	224 
005431 	113 	64 	224 	224 
005432 	113 	64 	224 	224 
005433 	113 	39 	224 	224 
005434 	113 	39 	224 	224 
005435 	113 	39 	224 	224 
005436 	113 	39 	224 	224 
005437 	113 	39 	224 	224 
005438 	89 	39 	223 	224 
005439 	89 	39 	223 	224 
005440 	89 	39 	223 	224 
005441 	89 	39 	223 	224 
005442 	89 	39 	223 	224 
005443 	89 	64 	223 	224 
005444 	89 	64 	223 	224 
005445 	89 	64 	223 	224 
005446 	89 	64 	223 	224 
005447 	115 	95 	187 	186 
005448 	115 	74 	187 	187 
005449 	115 	74 	187 	187 
005450 	113 	39 	224 	224 
005451 	113 	39 	224 	224 
005452 	113 	39 	224 	224 
005453 	113 	64 	224 	224 
005454 	113 	64 	224 	224 
005455 	113 	64 	224 	224 
005456 	113 	64 	224 	224 
005457 	113 	64 	224 	224 
005458 	113 	39 	224 	224 
005459 	113 	64 	224 	224 
005460 	113 	39 	224 	224 
005461 	113 	39 	224 	224 
005462 	113 	39 	224 	224 
005463 	113 	64 	224 	224 
005464 	113 	64 	224 	224 
005465 	113 	39 	224 	224 
005466 	113 	39 	224 	224 
005467 	113 	64 	224 	224 
005468 	113 	64 	224 	224 
005469 	113 	64 	224 	224 
005470 	113 	64 	224 	224 
005471 	113 	64 	224 	224 
005472 	113 	64 	224 	224 
005473 	113 	64 	224 	224 
005474 	113 	64 	224 	224 
005475 	113 	64 	224 	224 
005476 	113 	64 	224 	224 
005477 	113 	64 	224 	224 
005478 	113 	64 	224 	224 
005479 	113 	64 	224 	224 
005480 	113 	64 	224 	224 
005481 	113 	64 	224 	224 
005482 	113 	64 	224 	224 
005483 	113 	39 	224 	224 
005484 	113 	39 	224 	224 
005485 	113 	39 	224 	224 
005486 	113 	39 	224 	224 
005487 	113 	64 	224 	224 
005488 	113 	64 	224 	224 
005489 	113 	39 	224 	224 
005490 	113 	64 	224 	224 
005491 	113 	64 	224 	224 
005492 	113 	64 	224 	224 
005493 	113 	64 	224 	224 
005494 	115 	95 	187 	186 
005495 	115 	95 	187 	186 
005496 	89 	64 	223 	224 
005497 	94 	95 	187 	186 
005498 	94 	95 	187 	186 
005499 	94 	95 	187 	186 
005500 	74 	95 	186 	186 
005501 	64 	89 	224 	224 
005502 	64 	89 	224 	224 
005503 	74 	95 	186 	186 
005504 	74 	95 	186 	186 
005505 	74 	95 	186 	186 
005506 	94 	95 	187 	186 
005507 	94 	95 	187 	186 
005508 	94 	95 	187 	186 
005509 	94 	95 	187 	186 
005510 	94 	95 	187 	186 
005511 	94 	74 	187 	187 
005512 	94 	74 	187 	187 
005513 	94 	74 	187 	187 
005514 	89 	64 	223 	224 
005515 	89 	64 	223 	224 
005516 	89 	64 	223 	224 
005517 	89 	64 	223 	224 
005518 	89 	64 	223 	224 
005519 	89 	64 	223 	224 
005520 	89 	64 	223 	224 
005521 	89 	64 	223 	224 
005522 	89 	64 	223 	224 
005523 	89 	39 	223 	224 
005524 	89 	39 	223 	224 
005525 	89 	39 	223 	224 
