Identity  : 	id10270
Reference : 	GWXujl-xAVM
Offset    : 	0
FV Conf   : 	21.080
ASD Conf  : 	6.338

FRAME 	X 	Y 	W 	H 
019521 	135 	136 	187 	187 
019522 	135 	136 	187 	187 
019523 	135 	136 	187 	187 
019524 	115 	136 	187 	187 
019525 	115 	136 	187 	187 
019526 	115 	136 	187 	187 
019527 	115 	115 	187 	187 
019528 	94 	115 	187 	187 
019529 	94 	115 	187 	187 
019530 	94 	115 	187 	187 
019531 	64 	89 	224 	224 
019532 	64 	89 	224 	224 
019533 	74 	95 	186 	186 
019534 	64 	64 	224 	224 
019535 	64 	64 	224 	224 
019536 	74 	74 	186 	187 
019537 	74 	74 	186 	187 
019538 	74 	74 	186 	187 
019539 	74 	53 	186 	187 
019540 	74 	53 	186 	187 
019541 	74 	53 	186 	187 
019542 	74 	53 	186 	187 
019543 	74 	53 	186 	187 
019544 	74 	33 	186 	187 
019545 	74 	53 	186 	187 
019546 	74 	33 	186 	187 
019547 	74 	33 	186 	187 
019548 	64 	15 	224 	224 
019549 	64 	15 	224 	224 
019550 	64 	15 	224 	224 
019551 	94 	33 	187 	187 
019552 	94 	33 	187 	187 
019553 	94 	33 	187 	187 
019554 	94 	33 	187 	187 
019555 	94 	33 	187 	187 
019556 	94 	33 	187 	187 
019557 	115 	33 	187 	187 
019558 	115 	33 	187 	187 
019559 	115 	53 	187 	187 
019560 	115 	53 	187 	187 
019561 	115 	53 	187 	187 
019562 	115 	53 	187 	187 
019563 	115 	53 	187 	187 
019564 	115 	53 	187 	187 
019565 	115 	53 	187 	187 
019566 	115 	53 	187 	187 
019567 	115 	53 	187 	187 
019568 	115 	53 	187 	187 
019569 	115 	53 	187 	187 
019570 	115 	53 	187 	187 
019571 	115 	53 	187 	187 
019572 	115 	53 	187 	187 
019573 	115 	53 	187 	187 
019574 	115 	53 	187 	187 
019575 	89 	39 	223 	224 
019576 	89 	39 	223 	224 
019577 	115 	53 	187 	187 
019578 	115 	74 	187 	187 
019579 	115 	53 	187 	187 
019580 	115 	74 	187 	187 
019581 	115 	74 	187 	187 
019582 	115 	74 	187 	187 
019583 	115 	74 	187 	187 
019584 	115 	74 	187 	187 
019585 	115 	74 	187 	187 
019586 	115 	74 	187 	187 
019587 	115 	74 	187 	187 
019588 	115 	74 	187 	187 
019589 	115 	74 	187 	187 
019590 	115 	74 	187 	187 
019591 	115 	74 	187 	187 
019592 	115 	74 	187 	187 
019593 	115 	74 	187 	187 
019594 	115 	74 	187 	187 
019595 	115 	74 	187 	187 
019596 	135 	74 	187 	187 
019597 	135 	74 	187 	187 
019598 	135 	74 	187 	187 
019599 	135 	74 	187 	187 
019600 	135 	74 	187 	187 
019601 	135 	74 	187 	187 
019602 	135 	74 	187 	187 
019603 	135 	74 	187 	187 
019604 	135 	74 	187 	187 
019605 	135 	74 	187 	187 
019606 	135 	74 	187 	187 
019607 	135 	74 	187 	187 
019608 	113 	64 	224 	224 
019609 	113 	64 	224 	224 
019610 	113 	64 	224 	224 
019611 	135 	74 	187 	187 
019612 	113 	64 	224 	224 
019613 	135 	74 	187 	187 
019614 	135 	74 	187 	187 
019615 	135 	74 	187 	187 
019616 	135 	74 	187 	187 
019617 	135 	74 	187 	187 
019618 	156 	95 	187 	186 
019619 	156 	95 	187 	186 
019620 	156 	95 	187 	186 
019621 	156 	95 	187 	186 
019622 	156 	95 	187 	186 
019623 	156 	95 	187 	186 
019624 	156 	95 	187 	186 
019625 	156 	95 	187 	186 
019626 	156 	95 	187 	186 
019627 	156 	95 	187 	186 
019628 	135 	95 	187 	186 
019629 	135 	95 	187 	186 
019630 	135 	95 	187 	186 
019631 	135 	95 	187 	186 
019632 	135 	95 	187 	186 
019633 	135 	95 	187 	186 
019634 	135 	95 	187 	186 
019635 	135 	95 	187 	186 
019636 	135 	115 	187 	187 
019637 	135 	115 	187 	187 
019638 	135 	115 	187 	187 
019639 	135 	115 	187 	187 
019640 	135 	115 	187 	187 
019641 	135 	115 	187 	187 
019642 	135 	115 	187 	187 
019643 	135 	115 	187 	187 
019644 	135 	115 	187 	187 
019645 	135 	115 	187 	187 
019646 	135 	115 	187 	187 
019647 	135 	115 	187 	187 
019648 	113 	89 	224 	224 
019649 	138 	64 	224 	224 
019650 	138 	64 	224 	224 
019651 	138 	64 	224 	224 
019652 	138 	64 	224 	224 
019653 	135 	115 	187 	187 
019654 	135 	115 	187 	187 
019655 	135 	115 	187 	187 
019656 	135 	115 	187 	187 
