Identity  : 	id10270
Reference : 	OXdd7Gmluts
Offset    : 	1
FV Conf   : 	20.912
ASD Conf  : 	7.124

FRAME 	X 	Y 	W 	H 
004722 	233 	96 	156 	156 
004723 	233 	96 	156 	156 
004724 	233 	96 	156 	156 
004725 	233 	96 	156 	156 
004726 	233 	96 	156 	156 
004727 	233 	96 	156 	156 
004728 	233 	96 	156 	156 
004729 	233 	96 	156 	156 
004730 	233 	96 	156 	156 
004731 	233 	96 	156 	156 
004732 	233 	96 	156 	156 
004733 	233 	96 	156 	156 
004734 	233 	96 	156 	156 
004735 	233 	96 	156 	156 
004736 	233 	96 	156 	156 
004737 	251 	123 	130 	130 
004738 	251 	123 	130 	130 
004739 	233 	96 	156 	156 
004740 	233 	96 	156 	156 
004741 	233 	96 	156 	156 
004742 	251 	123 	130 	130 
004743 	251 	123 	130 	130 
004744 	251 	109 	130 	130 
004745 	250 	96 	156 	156 
004746 	250 	96 	156 	156 
004747 	250 	96 	156 	156 
004748 	250 	79 	156 	156 
004749 	250 	79 	156 	156 
004750 	250 	79 	156 	156 
004751 	267 	79 	156 	156 
004752 	267 	79 	156 	156 
004753 	267 	79 	156 	156 
004754 	267 	79 	156 	156 
004755 	267 	79 	156 	156 
004756 	285 	79 	155 	156 
004757 	285 	79 	155 	156 
004758 	285 	79 	155 	156 
004759 	285 	79 	155 	156 
004760 	285 	96 	155 	156 
004761 	285 	96 	155 	156 
004762 	285 	96 	155 	156 
004763 	285 	96 	155 	156 
004764 	285 	96 	155 	156 
004765 	285 	96 	155 	156 
004766 	285 	96 	155 	156 
004767 	285 	96 	155 	156 
004768 	285 	96 	155 	156 
004769 	285 	96 	155 	156 
004770 	285 	96 	155 	156 
004771 	285 	96 	155 	156 
004772 	285 	96 	155 	156 
004773 	285 	96 	155 	156 
004774 	267 	96 	156 	156 
004775 	267 	96 	156 	156 
004776 	267 	96 	156 	156 
004777 	280 	109 	130 	130 
004778 	267 	96 	156 	156 
004779 	267 	96 	156 	156 
004780 	267 	96 	156 	156 
004781 	267 	96 	156 	156 
004782 	267 	96 	156 	156 
004783 	267 	96 	156 	156 
004784 	267 	96 	156 	156 
004785 	267 	96 	156 	156 
004786 	266 	123 	130 	130 
004787 	266 	123 	130 	130 
004788 	250 	96 	156 	156 
004789 	250 	96 	156 	156 
004790 	250 	96 	156 	156 
004791 	251 	109 	130 	130 
004792 	233 	96 	156 	156 
004793 	233 	96 	156 	156 
004794 	233 	96 	156 	156 
004795 	233 	96 	156 	156 
004796 	233 	96 	156 	156 
004797 	233 	96 	156 	156 
004798 	233 	96 	156 	156 
004799 	233 	96 	156 	156 
004800 	233 	96 	156 	156 
004801 	233 	96 	156 	156 
004802 	233 	96 	156 	156 
004803 	233 	96 	156 	156 
004804 	233 	96 	156 	156 
004805 	233 	96 	156 	156 
004806 	233 	96 	156 	156 
004807 	233 	96 	156 	156 
004808 	233 	96 	156 	156 
004809 	233 	96 	156 	156 
004810 	233 	113 	156 	156 
004811 	233 	113 	156 	156 
004812 	251 	123 	130 	130 
004813 	251 	123 	130 	130 
004814 	250 	96 	156 	156 
004815 	250 	96 	156 	156 
004816 	251 	123 	130 	130 
004817 	250 	110 	143 	143 
004818 	250 	96 	156 	156 
004819 	250 	96 	156 	156 
004820 	250 	96 	156 	156 
004821 	250 	96 	156 	156 
004822 	250 	96 	156 	156 
004823 	250 	96 	156 	156 
004824 	266 	137 	130 	130 
004825 	250 	113 	156 	156 
004826 	250 	113 	156 	156 
004827 	250 	113 	156 	156 
004828 	250 	113 	156 	156 
004829 	250 	113 	156 	156 
004830 	250 	113 	156 	156 
004831 	250 	113 	156 	156 
004832 	250 	113 	156 	156 
004833 	251 	137 	130 	130 
004834 	251 	137 	130 	130 
004835 	251 	137 	130 	130 
004836 	250 	113 	156 	156 
004837 	250 	113 	156 	156 
004838 	250 	113 	156 	156 
004839 	250 	113 	156 	156 
004840 	250 	113 	156 	156 
004841 	250 	113 	156 	156 
004842 	250 	113 	156 	156 
004843 	250 	113 	156 	156 
004844 	250 	113 	156 	156 
004845 	250 	96 	156 	156 
004846 	266 	123 	130 	130 
004847 	250 	96 	156 	156 
004848 	266 	123 	130 	130 
004849 	250 	96 	156 	156 
004850 	250 	96 	156 	156 
004851 	250 	96 	156 	156 
004852 	250 	110 	143 	143 
004853 	251 	123 	130 	130 
004854 	251 	123 	130 	130 
