Identity  : 	id10270
Reference : 	OhfKF8FSq3Y
Offset    : 	-2
FV Conf   : 	21.166
ASD Conf  : 	4.982

FRAME 	X 	Y 	W 	H 
014462 	285 	48 	268 	268 
014463 	285 	48 	268 	268 
014464 	285 	48 	268 	268 
014465 	285 	48 	268 	268 
014466 	285 	48 	268 	268 
014467 	285 	48 	268 	268 
014468 	285 	48 	268 	268 
014469 	285 	48 	268 	268 
014470 	285 	48 	268 	268 
014471 	285 	48 	268 	268 
014472 	285 	48 	268 	268 
014473 	285 	48 	268 	268 
014474 	285 	48 	268 	268 
014475 	285 	48 	268 	268 
014476 	285 	48 	268 	268 
014477 	285 	48 	268 	268 
014478 	285 	48 	268 	268 
014479 	285 	48 	268 	268 
014480 	285 	48 	268 	268 
014481 	285 	48 	268 	268 
014482 	285 	48 	268 	268 
014483 	285 	48 	268 	268 
014484 	285 	48 	268 	268 
014485 	285 	48 	268 	268 
014486 	285 	48 	268 	268 
014487 	285 	48 	268 	268 
014488 	285 	48 	268 	268 
014489 	285 	48 	268 	268 
014490 	285 	48 	268 	268 
014491 	285 	48 	268 	268 
014492 	285 	48 	268 	268 
014493 	285 	48 	268 	268 
014494 	285 	48 	268 	268 
014495 	285 	48 	268 	268 
014496 	285 	48 	268 	268 
014497 	285 	48 	268 	268 
014498 	285 	48 	268 	268 
014499 	285 	48 	268 	268 
014500 	285 	48 	268 	268 
014501 	285 	48 	268 	268 
014502 	285 	48 	268 	268 
014503 	285 	48 	268 	268 
014504 	285 	48 	268 	268 
014505 	285 	48 	268 	268 
014506 	285 	48 	268 	268 
014507 	285 	48 	268 	268 
014508 	285 	48 	268 	268 
014509 	285 	48 	268 	268 
014510 	285 	48 	268 	268 
014511 	285 	48 	268 	268 
014512 	285 	48 	268 	268 
014513 	255 	18 	269 	268 
014514 	255 	18 	269 	268 
014515 	255 	18 	269 	268 
014516 	255 	18 	269 	268 
014517 	255 	18 	269 	268 
014518 	255 	18 	269 	268 
014519 	255 	18 	269 	268 
014520 	255 	18 	269 	268 
014521 	255 	18 	269 	268 
014522 	255 	18 	269 	268 
014523 	255 	18 	269 	268 
014524 	255 	18 	269 	268 
014525 	255 	18 	269 	268 
014526 	255 	18 	269 	268 
014527 	255 	18 	269 	268 
014528 	255 	18 	269 	268 
014529 	225 	18 	269 	268 
014530 	225 	18 	269 	268 
014531 	225 	18 	269 	268 
014532 	225 	18 	269 	268 
014533 	225 	18 	269 	268 
014534 	225 	18 	269 	268 
014535 	225 	18 	269 	268 
014536 	225 	18 	269 	268 
014537 	240 	18 	269 	268 
014538 	255 	18 	269 	268 
014539 	255 	18 	269 	268 
014540 	255 	18 	269 	268 
014541 	285 	18 	268 	268 
014542 	285 	18 	268 	268 
014543 	285 	18 	268 	268 
014544 	285 	18 	268 	268 
014545 	255 	18 	269 	268 
014546 	255 	18 	269 	268 
014547 	255 	18 	269 	268 
014548 	285 	18 	268 	268 
014549 	285 	18 	268 	268 
014550 	285 	18 	268 	268 
014551 	285 	18 	268 	268 
014552 	285 	18 	268 	268 
014553 	285 	18 	268 	268 
014554 	285 	18 	268 	268 
014555 	285 	18 	268 	268 
014556 	285 	18 	268 	268 
014557 	285 	18 	268 	268 
014558 	285 	18 	268 	268 
014559 	285 	18 	268 	268 
014560 	285 	18 	268 	268 
014561 	285 	18 	268 	268 
014562 	285 	18 	268 	268 
014563 	285 	18 	268 	268 
