Identity  : 	id10270
Reference : 	OmSWVqpb-N0
Offset    : 	-2
FV Conf   : 	20.605
ASD Conf  : 	7.056

FRAME 	X 	Y 	W 	H 
006194 	114 	90 	108 	109 
006195 	114 	90 	108 	109 
006196 	126 	90 	108 	109 
006197 	126 	90 	108 	109 
006198 	126 	90 	108 	109 
006199 	126 	90 	108 	109 
006200 	126 	102 	108 	109 
006201 	126 	102 	108 	109 
006202 	126 	102 	108 	109 
006203 	126 	102 	108 	109 
006204 	126 	102 	108 	109 
006205 	126 	102 	108 	109 
006206 	138 	102 	108 	109 
006207 	138 	102 	108 	109 
006208 	138 	102 	108 	109 
006209 	138 	102 	108 	109 
006210 	138 	102 	108 	109 
006211 	138 	102 	108 	109 
006212 	138 	102 	108 	109 
006213 	138 	102 	108 	109 
006214 	138 	102 	108 	109 
006215 	138 	102 	108 	109 
006216 	138 	102 	108 	109 
006217 	138 	102 	108 	109 
006218 	138 	102 	108 	109 
006219 	138 	102 	108 	109 
006220 	138 	102 	108 	109 
006221 	138 	90 	108 	109 
006222 	138 	90 	108 	109 
006223 	138 	90 	108 	109 
006224 	138 	90 	108 	109 
006225 	138 	90 	108 	109 
006226 	138 	90 	108 	109 
006227 	138 	90 	108 	109 
006228 	138 	90 	108 	109 
006229 	154 	95 	91 	91 
006230 	154 	95 	91 	91 
006231 	154 	95 	91 	91 
006232 	154 	95 	91 	91 
006233 	154 	95 	91 	91 
006234 	154 	95 	91 	91 
006235 	154 	95 	91 	91 
006236 	154 	95 	91 	91 
006237 	154 	95 	91 	91 
006238 	154 	95 	91 	91 
006239 	154 	95 	91 	91 
006240 	154 	95 	91 	91 
006241 	150 	90 	108 	109 
006242 	150 	90 	108 	109 
006243 	150 	90 	108 	109 
006244 	154 	105 	91 	91 
006245 	154 	105 	91 	91 
006246 	154 	105 	91 	91 
006247 	138 	90 	108 	109 
006248 	138 	90 	108 	109 
006249 	138 	90 	108 	109 
006250 	150 	102 	108 	109 
006251 	154 	105 	91 	91 
006252 	154 	105 	91 	91 
006253 	154 	105 	91 	91 
006254 	154 	105 	91 	91 
006255 	150 	102 	108 	109 
006256 	150 	102 	108 	109 
006257 	138 	102 	108 	109 
006258 	138 	102 	108 	109 
006259 	138 	102 	108 	109 
006260 	138 	102 	108 	109 
006261 	138 	102 	108 	109 
006262 	138 	102 	108 	109 
006263 	138 	102 	108 	109 
006264 	138 	102 	108 	109 
006265 	138 	102 	108 	109 
006266 	138 	102 	108 	109 
006267 	138 	102 	108 	109 
006268 	138 	102 	108 	109 
006269 	138 	102 	108 	109 
006270 	138 	102 	108 	109 
006271 	138 	102 	108 	109 
006272 	138 	102 	108 	109 
006273 	138 	102 	108 	109 
006274 	150 	102 	108 	109 
006275 	150 	102 	108 	109 
006276 	150 	90 	108 	109 
006277 	150 	90 	108 	109 
006278 	150 	90 	108 	109 
006279 	150 	78 	108 	109 
006280 	150 	78 	108 	109 
006281 	161 	78 	109 	109 
006282 	161 	78 	109 	109 
006283 	161 	90 	109 	109 
006284 	161 	90 	109 	109 
006285 	173 	90 	109 	109 
006286 	173 	90 	109 	109 
006287 	173 	90 	109 	109 
006288 	173 	90 	109 	109 
006289 	194 	105 	91 	91 
006290 	194 	105 	91 	91 
006291 	204 	105 	91 	91 
006292 	204 	105 	91 	91 
006293 	197 	102 	109 	109 
006294 	197 	102 	109 	109 
006295 	197 	102 	109 	109 
006296 	214 	115 	91 	91 
006297 	214 	115 	91 	91 
006298 	214 	115 	91 	91 
006299 	214 	115 	91 	91 
006300 	214 	115 	91 	91 
006301 	214 	115 	91 	91 
006302 	197 	102 	109 	109 
006303 	197 	102 	109 	109 
006304 	197 	102 	109 	109 
006305 	204 	115 	91 	91 
006306 	204 	115 	91 	91 
006307 	204 	115 	91 	91 
006308 	204 	115 	91 	91 
006309 	204 	115 	91 	91 
006310 	204 	115 	91 	91 
006311 	194 	115 	91 	91 
006312 	194 	115 	91 	91 
006313 	185 	102 	109 	109 
006314 	185 	102 	109 	109 
006315 	185 	102 	109 	109 
006316 	185 	102 	109 	109 
006317 	185 	102 	109 	109 
006318 	185 	102 	109 	109 
006319 	185 	102 	109 	109 
006320 	185 	102 	109 	109 
006321 	194 	115 	91 	91 
006322 	194 	115 	91 	91 
006323 	185 	114 	109 	109 
006324 	185 	114 	109 	109 
006325 	204 	125 	91 	90 
006326 	204 	125 	91 	90 
006327 	197 	114 	109 	109 
006328 	204 	115 	91 	91 
006329 	204 	115 	91 	91 
006330 	197 	114 	109 	109 
006331 	204 	115 	91 	91 
006332 	204 	115 	91 	91 
006333 	204 	115 	91 	91 
006334 	204 	115 	91 	91 
006335 	204 	115 	91 	91 
006336 	204 	115 	91 	91 
006337 	197 	114 	109 	109 
006338 	197 	114 	109 	109 
006339 	197 	114 	109 	109 
006340 	197 	114 	109 	109 
006341 	197 	114 	109 	109 
006342 	197 	114 	109 	109 
006343 	204 	115 	91 	91 
006344 	204 	115 	91 	91 
006345 	204 	115 	91 	91 
006346 	197 	114 	109 	109 
006347 	204 	125 	91 	90 
006348 	204 	125 	91 	90 
