Identity  : 	id10270
Reference : 	PXmaB6Ui0fE
Offset    : 	-6
FV Conf   : 	13.175
ASD Conf  : 	6.844

FRAME 	X 	Y 	W 	H 
004746 	197 	102 	109 	109 
004747 	197 	102 	109 	109 
004748 	197 	90 	109 	109 
004749 	197 	90 	109 	109 
004750 	197 	90 	109 	109 
004751 	197 	90 	109 	109 
004752 	197 	90 	109 	109 
004753 	197 	90 	109 	109 
004754 	180 	80 	130 	130 
004755 	180 	80 	130 	130 
004756 	180 	94 	130 	130 
004757 	165 	94 	130 	130 
004758 	165 	94 	130 	130 
004759 	165 	94 	130 	130 
004760 	165 	94 	130 	130 
004761 	165 	94 	130 	130 
004762 	165 	94 	130 	130 
004763 	165 	80 	130 	130 
004764 	165 	80 	130 	130 
004765 	151 	80 	130 	130 
004766 	151 	80 	130 	130 
004767 	151 	80 	130 	130 
004768 	137 	80 	130 	130 
004769 	137 	80 	130 	130 
004770 	150 	90 	108 	109 
004771 	138 	90 	108 	109 
004772 	122 	80 	130 	130 
004773 	126 	90 	108 	109 
004774 	114 	90 	108 	109 
004775 	94 	80 	130 	130 
004776 	102 	90 	108 	109 
004777 	90 	90 	108 	109 
004778 	90 	102 	108 	109 
004779 	65 	80 	130 	130 
004780 	78 	90 	108 	109 
004781 	66 	102 	108 	109 
004782 	51 	94 	130 	130 
004783 	51 	94 	130 	130 
004784 	66 	102 	108 	109 
004785 	66 	102 	108 	109 
004786 	54 	102 	108 	109 
004787 	66 	90 	108 	109 
004788 	66 	90 	108 	109 
004789 	66 	90 	108 	109 
004790 	66 	90 	108 	109 
004791 	66 	90 	108 	109 
004792 	66 	90 	108 	109 
004793 	66 	90 	108 	109 
004794 	65 	80 	130 	130 
004795 	65 	80 	130 	130 
004796 	79 	80 	130 	130 
004797 	79 	80 	130 	130 
004798 	102 	90 	108 	109 
004799 	114 	90 	108 	109 
004800 	126 	90 	108 	109 
004801 	122 	80 	130 	130 
004802 	150 	90 	108 	109 
004803 	137 	80 	130 	130 
004804 	161 	90 	109 	109 
004805 	151 	80 	130 	130 
004806 	151 	80 	130 	130 
004807 	165 	80 	130 	130 
004808 	165 	80 	130 	130 
004809 	165 	80 	130 	130 
004810 	151 	80 	130 	130 
004811 	161 	90 	109 	109 
004812 	137 	80 	130 	130 
004813 	137 	80 	130 	130 
004814 	137 	80 	130 	130 
004815 	122 	80 	130 	130 
004816 	122 	80 	130 	130 
004817 	122 	80 	130 	130 
004818 	108 	80 	130 	130 
004819 	108 	80 	130 	130 
004820 	108 	80 	130 	130 
004821 	108 	80 	130 	130 
004822 	108 	94 	130 	130 
004823 	108 	94 	130 	130 
004824 	126 	114 	108 	109 
004825 	126 	114 	108 	109 
004826 	126 	114 	108 	109 
004827 	122 	109 	130 	130 
004828 	122 	109 	130 	130 
004829 	122 	109 	130 	130 
004830 	122 	109 	130 	130 
004831 	122 	109 	130 	130 
004832 	122 	109 	130 	130 
004833 	122 	109 	130 	130 
004834 	138 	114 	108 	109 
004835 	137 	109 	130 	130 
004836 	137 	109 	130 	130 
004837 	161 	126 	109 	109 
004838 	151 	109 	130 	130 
004839 	173 	126 	109 	109 
004840 	173 	126 	109 	109 
004841 	173 	126 	109 	109 
004842 	173 	126 	109 	109 
004843 	173 	126 	109 	109 
004844 	185 	126 	109 	109 
004845 	185 	126 	109 	109 
004846 	185 	126 	109 	109 
004847 	185 	126 	109 	109 
004848 	185 	126 	109 	109 
004849 	185 	126 	109 	109 
004850 	165 	109 	130 	130 
004851 	173 	126 	109 	109 
004852 	172 	125 	110 	110 
004853 	172 	125 	111 	111 
004854 	171 	124 	112 	112 
004855 	171 	124 	113 	113 
004856 	170 	123 	114 	114 
004857 	170 	122 	115 	115 
004858 	169 	122 	116 	116 
004859 	169 	121 	117 	117 
004860 	168 	120 	118 	118 
004861 	168 	120 	119 	119 
004862 	167 	119 	120 	120 
004863 	166 	118 	121 	121 
004864 	166 	118 	122 	122 
