Identity  : 	id10270
Reference : 	x6uYqmx31kE
Offset    : 	-1
FV Conf   : 	20.779
ASD Conf  : 	6.236

FRAME 	X 	Y 	W 	H 
007089 	180 	123 	130 	130 
007090 	180 	123 	130 	130 
007091 	180 	123 	130 	130 
007092 	180 	123 	130 	130 
007093 	180 	123 	130 	130 
007094 	185 	138 	109 	109 
007095 	185 	138 	109 	109 
007096 	165 	123 	130 	130 
007097 	165 	123 	130 	130 
007098 	165 	123 	130 	130 
007099 	165 	123 	130 	130 
007100 	165 	123 	130 	130 
007101 	165 	109 	130 	130 
007102 	165 	109 	130 	130 
007103 	165 	109 	130 	130 
007104 	165 	109 	130 	130 
007105 	165 	109 	130 	130 
007106 	165 	109 	130 	130 
007107 	165 	109 	130 	130 
007108 	165 	109 	130 	130 
007109 	165 	109 	130 	130 
007110 	173 	126 	109 	109 
007111 	151 	123 	130 	130 
007112 	151 	123 	130 	130 
007113 	151 	123 	130 	130 
007114 	151 	123 	130 	130 
007115 	151 	123 	130 	130 
007116 	151 	123 	130 	130 
007117 	151 	123 	130 	130 
007118 	151 	123 	130 	130 
007119 	151 	123 	130 	130 
007120 	151 	123 	130 	130 
007121 	165 	123 	130 	130 
007122 	165 	123 	130 	130 
007123 	165 	123 	130 	130 
007124 	165 	123 	130 	130 
007125 	165 	123 	130 	130 
007126 	165 	123 	130 	130 
007127 	165 	123 	130 	130 
007128 	165 	123 	130 	130 
007129 	165 	123 	130 	130 
007130 	165 	123 	130 	130 
007131 	165 	123 	130 	130 
007132 	185 	138 	109 	109 
007133 	180 	123 	130 	130 
007134 	180 	123 	130 	130 
007135 	180 	123 	130 	130 
007136 	180 	123 	130 	130 
007137 	180 	123 	130 	130 
007138 	180 	123 	130 	130 
007139 	180 	123 	130 	130 
007140 	180 	123 	130 	130 
007141 	180 	123 	130 	130 
007142 	185 	138 	109 	109 
007143 	180 	123 	130 	130 
007144 	180 	123 	130 	130 
007145 	180 	123 	130 	130 
007146 	165 	123 	130 	130 
007147 	165 	123 	130 	130 
007148 	165 	123 	130 	130 
007149 	165 	123 	130 	130 
007150 	165 	123 	130 	130 
007151 	165 	123 	130 	130 
007152 	165 	123 	130 	130 
007153 	165 	123 	130 	130 
007154 	165 	123 	130 	130 
007155 	165 	123 	130 	130 
007156 	165 	137 	130 	130 
007157 	165 	137 	130 	130 
007158 	165 	137 	130 	130 
007159 	185 	138 	109 	109 
007160 	180 	123 	130 	130 
007161 	180 	123 	130 	130 
007162 	180 	123 	130 	130 
007163 	180 	123 	130 	130 
007164 	180 	123 	130 	130 
007165 	180 	123 	130 	130 
007166 	194 	123 	130 	130 
007167 	194 	123 	130 	130 
007168 	194 	123 	130 	130 
007169 	180 	123 	130 	130 
007170 	180 	123 	130 	130 
007171 	180 	123 	130 	130 
007172 	180 	123 	130 	130 
007173 	194 	123 	130 	130 
007174 	194 	123 	130 	130 
007175 	194 	123 	130 	130 
007176 	194 	123 	130 	130 
007177 	194 	123 	130 	130 
007178 	194 	123 	130 	130 
007179 	194 	123 	130 	130 
007180 	194 	123 	130 	130 
007181 	194 	123 	130 	130 
007182 	194 	137 	130 	130 
007183 	194 	137 	130 	130 
007184 	194 	137 	130 	130 
007185 	194 	137 	130 	130 
007186 	194 	137 	130 	130 
007187 	194 	137 	130 	130 
007188 	194 	137 	130 	130 
007189 	194 	137 	130 	130 
007190 	194 	137 	130 	130 
007191 	194 	137 	130 	130 
007192 	194 	137 	130 	130 
007193 	194 	137 	130 	130 
007194 	194 	137 	130 	130 
007195 	194 	137 	130 	130 
007196 	194 	137 	130 	130 
007197 	194 	137 	130 	130 
007198 	194 	137 	130 	130 
007199 	194 	137 	130 	130 
007200 	194 	137 	130 	130 
007201 	194 	137 	130 	130 
007202 	194 	137 	130 	130 
007203 	194 	137 	130 	130 
007204 	197 	138 	109 	109 
007205 	180 	137 	130 	130 
007206 	180 	137 	130 	130 
007207 	180 	137 	130 	130 
007208 	180 	137 	130 	130 
007209 	180 	137 	130 	130 
007210 	180 	123 	130 	130 
007211 	180 	123 	130 	130 
007212 	180 	123 	130 	130 
007213 	180 	123 	130 	130 
007214 	180 	123 	130 	130 
007215 	180 	123 	130 	130 
007216 	180 	123 	130 	130 
007217 	180 	123 	130 	130 
007218 	180 	123 	130 	130 
007219 	180 	123 	130 	130 
007220 	165 	123 	130 	130 
007221 	165 	123 	130 	130 
007222 	165 	123 	130 	130 
007223 	165 	123 	130 	130 
007224 	165 	123 	130 	130 
007225 	165 	123 	130 	130 
007226 	165 	123 	130 	130 
007227 	185 	138 	109 	109 
007228 	165 	123 	130 	130 
007229 	165 	123 	130 	130 
007230 	165 	123 	130 	130 
007231 	165 	137 	130 	130 
007232 	165 	137 	130 	130 
007233 	165 	137 	130 	130 
007234 	165 	137 	130 	130 
007235 	165 	137 	130 	130 
