Identity  : 	id10270
Reference : 	zjwijMp0Qyw
Offset    : 	-3
FV Conf   : 	21.330
ASD Conf  : 	5.119

FRAME 	X 	Y 	W 	H 
000018 	185 	78 	109 	109 
000019 	185 	78 	109 	109 
000020 	185 	78 	109 	109 
000021 	204 	85 	91 	91 
000022 	197 	78 	109 	109 
000023 	197 	78 	109 	109 
000024 	197 	78 	109 	109 
000025 	197 	78 	109 	109 
000026 	197 	78 	109 	109 
000027 	197 	78 	109 	109 
000028 	214 	85 	91 	91 
000029 	214 	85 	91 	91 
000030 	214 	85 	91 	91 
000031 	214 	85 	91 	91 
000032 	214 	85 	91 	91 
000033 	214 	85 	91 	91 
000034 	209 	78 	109 	109 
000035 	209 	78 	109 	109 
000036 	209 	78 	109 	109 
000037 	214 	85 	91 	91 
000038 	209 	78 	109 	109 
000039 	209 	78 	109 	109 
000040 	209 	78 	109 	109 
000041 	224 	85 	91 	91 
000042 	224 	85 	91 	91 
000043 	224 	85 	91 	91 
000044 	224 	85 	91 	91 
000045 	224 	85 	91 	91 
000046 	224 	85 	91 	91 
000047 	224 	85 	91 	91 
000048 	224 	85 	91 	91 
000049 	224 	85 	91 	91 
000050 	224 	95 	91 	91 
000051 	224 	95 	91 	91 
000052 	224 	95 	91 	91 
000053 	224 	95 	91 	91 
000054 	224 	95 	91 	91 
000055 	224 	95 	91 	91 
000056 	224 	95 	91 	91 
000057 	224 	95 	91 	91 
000058 	221 	90 	109 	109 
000059 	221 	90 	109 	109 
000060 	221 	90 	109 	109 
000061 	221 	90 	109 	109 
000062 	221 	90 	109 	109 
000063 	221 	90 	109 	109 
000064 	221 	90 	109 	109 
000065 	234 	95 	90 	91 
000066 	221 	90 	109 	109 
000067 	221 	90 	109 	109 
000068 	221 	90 	109 	109 
000069 	234 	95 	90 	91 
000070 	234 	95 	90 	91 
000071 	221 	90 	109 	109 
000072 	234 	95 	90 	91 
000073 	234 	95 	90 	91 
000074 	221 	90 	109 	109 
000075 	221 	90 	109 	109 
000076 	221 	90 	109 	109 
000077 	221 	90 	109 	109 
000078 	221 	90 	109 	109 
000079 	221 	90 	109 	109 
000080 	221 	90 	109 	109 
000081 	221 	90 	109 	109 
000082 	221 	90 	109 	109 
000083 	224 	95 	91 	91 
000084 	224 	95 	91 	91 
000085 	224 	95 	91 	91 
000086 	224 	95 	91 	91 
000087 	209 	90 	109 	109 
000088 	209 	90 	109 	109 
000089 	209 	90 	109 	109 
000090 	214 	105 	91 	91 
000091 	214 	105 	91 	91 
000092 	197 	102 	109 	109 
000093 	197 	102 	109 	109 
000094 	204 	105 	91 	91 
000095 	204 	105 	91 	91 
000096 	204 	105 	91 	91 
000097 	204 	105 	91 	91 
000098 	204 	105 	91 	91 
000099 	204 	105 	91 	91 
000100 	204 	105 	91 	91 
000101 	204 	105 	91 	91 
000102 	197 	90 	109 	109 
000103 	197 	90 	109 	109 
000104 	197 	90 	109 	109 
000105 	214 	95 	91 	91 
000106 	214 	95 	91 	91 
000107 	214 	95 	91 	91 
000108 	214 	95 	91 	91 
000109 	214 	95 	91 	91 
000110 	214 	95 	91 	91 
000111 	214 	95 	91 	91 
000112 	214 	95 	91 	91 
000113 	214 	95 	91 	91 
000114 	214 	95 	91 	91 
000115 	214 	95 	91 	91 
000116 	209 	90 	109 	109 
000117 	209 	90 	109 	109 
000118 	209 	90 	109 	109 
000119 	209 	102 	109 	109 
000120 	209 	102 	109 	109 
000121 	224 	115 	91 	91 
000122 	224 	115 	91 	91 
000123 	224 	115 	91 	91 
000124 	224 	115 	91 	91 
000125 	224 	125 	91 	90 
000126 	224 	125 	91 	90 
000127 	224 	125 	91 	90 
000128 	224 	125 	91 	90 
000129 	224 	125 	91 	90 
000130 	224 	125 	91 	90 
000131 	224 	125 	91 	90 
000132 	224 	125 	91 	90 
000133 	224 	125 	91 	90 
000134 	224 	125 	91 	90 
000135 	224 	125 	91 	90 
000136 	224 	125 	91 	90 
000137 	224 	125 	91 	90 
000138 	224 	125 	91 	90 
000139 	224 	125 	91 	90 
