Identity  : 	id10271
Reference : 	8gcdEYAKNkE
Offset    : 	-4
FV Conf   : 	14.834
ASD Conf  : 	5.857

FRAME 	X 	Y 	W 	H 
004833 	164 	75 	91 	91 
004834 	164 	75 	91 	91 
004835 	164 	75 	91 	91 
004836 	164 	75 	91 	91 
004837 	164 	75 	91 	91 
004838 	164 	75 	91 	91 
004839 	164 	75 	91 	91 
004840 	164 	75 	91 	91 
004841 	161 	66 	109 	109 
004842 	161 	54 	109 	109 
004843 	174 	65 	91 	91 
004844 	184 	65 	91 	91 
004845 	194 	65 	91 	91 
004846 	204 	65 	91 	91 
004847 	204 	65 	91 	91 
004848 	214 	65 	91 	91 
004849 	209 	54 	109 	109 
004850 	234 	65 	90 	91 
004851 	233 	54 	109 	109 
004852 	233 	54 	109 	109 
004853 	233 	54 	109 	109 
004854 	244 	65 	90 	91 
004855 	245 	54 	109 	109 
004856 	245 	54 	109 	109 
004857 	254 	65 	90 	91 
004858 	254 	65 	90 	91 
004859 	254 	65 	90 	91 
004860 	254 	65 	90 	91 
004861 	254 	65 	90 	91 
004862 	254 	65 	90 	91 
004863 	245 	54 	109 	109 
004864 	245 	54 	109 	109 
004865 	254 	55 	90 	91 
004866 	254 	55 	90 	91 
004867 	254 	55 	90 	91 
004868 	254 	55 	90 	91 
004869 	254 	55 	90 	91 
004870 	254 	55 	90 	91 
004871 	245 	43 	109 	108 
004872 	245 	43 	109 	108 
004873 	245 	43 	109 	108 
004874 	244 	55 	90 	91 
004875 	244 	55 	90 	91 
004876 	244 	55 	90 	91 
004877 	244 	55 	90 	91 
004878 	245 	43 	109 	108 
004879 	245 	43 	109 	108 
004880 	244 	65 	90 	91 
004881 	244 	65 	90 	91 
004882 	244 	65 	90 	91 
004883 	244 	65 	90 	91 
004884 	244 	65 	90 	91 
004885 	244 	65 	90 	91 
004886 	244 	55 	90 	91 
004887 	244 	55 	90 	91 
004888 	244 	55 	90 	91 
004889 	244 	55 	90 	91 
004890 	244 	55 	90 	91 
004891 	244 	55 	90 	91 
004892 	244 	65 	90 	91 
004893 	244 	65 	90 	91 
004894 	244 	55 	90 	91 
004895 	244 	65 	90 	91 
004896 	244 	65 	90 	91 
004897 	244 	65 	90 	91 
004898 	244 	65 	90 	91 
004899 	244 	65 	90 	91 
004900 	244 	65 	90 	91 
004901 	244 	65 	90 	91 
004902 	244 	65 	90 	91 
004903 	244 	65 	90 	91 
004904 	244 	65 	90 	91 
004905 	244 	65 	90 	91 
004906 	244 	65 	90 	91 
004907 	244 	65 	90 	91 
004908 	244 	65 	90 	91 
004909 	244 	65 	90 	91 
004910 	245 	54 	109 	109 
004911 	245 	54 	109 	109 
004912 	233 	66 	109 	109 
004913 	233 	66 	109 	109 
004914 	233 	66 	109 	109 
004915 	244 	75 	90 	91 
004916 	233 	66 	109 	109 
004917 	244 	75 	90 	91 
004918 	244 	75 	90 	91 
004919 	244 	75 	90 	91 
004920 	244 	75 	90 	91 
004921 	244 	85 	90 	91 
004922 	244 	85 	90 	91 
004923 	244 	85 	90 	91 
004924 	244 	85 	90 	91 
004925 	244 	85 	90 	91 
004926 	244 	85 	90 	91 
004927 	244 	85 	90 	91 
004928 	244 	85 	90 	91 
004929 	244 	85 	90 	91 
004930 	244 	85 	90 	91 
004931 	244 	85 	90 	91 
004932 	233 	78 	109 	109 
004933 	233 	78 	109 	109 
004934 	233 	78 	109 	109 
004935 	233 	78 	109 	109 
004936 	233 	78 	109 	109 
004937 	233 	78 	109 	109 
004938 	233 	78 	109 	109 
004939 	233 	78 	109 	109 
004940 	233 	78 	109 	109 
004941 	233 	78 	109 	109 
004942 	233 	78 	109 	109 
004943 	233 	78 	109 	109 
004944 	233 	78 	109 	109 
004945 	233 	78 	109 	109 
004946 	233 	78 	109 	109 
004947 	233 	78 	109 	109 
004948 	233 	78 	109 	109 
004949 	233 	78 	109 	109 
004950 	233 	78 	109 	109 
