Identity  : 	id10271
Reference : 	EOQXxK1whgU
Offset    : 	-3
FV Conf   : 	15.051
ASD Conf  : 	4.934

FRAME 	X 	Y 	W 	H 
004081 	266 	51 	130 	130 
004082 	269 	66 	108 	109 
004083 	269 	66 	108 	109 
004084 	269 	66 	108 	109 
004085 	257 	66 	109 	109 
004086 	257 	78 	109 	109 
004087 	257 	78 	109 	109 
004088 	257 	78 	109 	109 
004089 	245 	78 	109 	109 
004090 	233 	78 	109 	109 
004091 	233 	78 	109 	109 
004092 	244 	95 	90 	91 
004093 	221 	78 	109 	109 
004094 	221 	78 	109 	109 
004095 	209 	78 	109 	109 
004096 	209 	78 	109 	109 
004097 	209 	78 	109 	109 
004098 	209 	78 	109 	109 
004099 	214 	95 	91 	91 
004100 	197 	78 	109 	109 
004101 	197 	78 	109 	109 
004102 	197 	78 	109 	109 
004103 	197 	78 	109 	109 
004104 	197 	78 	109 	109 
004105 	197 	78 	109 	109 
004106 	197 	78 	109 	109 
004107 	197 	78 	109 	109 
004108 	197 	78 	109 	109 
004109 	197 	78 	109 	109 
004110 	197 	78 	109 	109 
004111 	197 	78 	109 	109 
004112 	197 	78 	109 	109 
004113 	197 	78 	109 	109 
004114 	197 	78 	109 	109 
004115 	197 	78 	109 	109 
004116 	204 	95 	91 	91 
004117 	204 	95 	91 	91 
004118 	197 	78 	109 	109 
004119 	197 	78 	109 	109 
004120 	197 	78 	109 	109 
004121 	197 	78 	109 	109 
004122 	197 	78 	109 	109 
004123 	197 	78 	109 	109 
004124 	197 	78 	109 	109 
004125 	197 	78 	109 	109 
004126 	209 	78 	109 	109 
004127 	209 	78 	109 	109 
004128 	209 	78 	109 	109 
004129 	209 	78 	109 	109 
004130 	209 	78 	109 	109 
004131 	209 	78 	109 	109 
004132 	209 	78 	109 	109 
004133 	209 	78 	109 	109 
004134 	221 	78 	109 	109 
004135 	221 	78 	109 	109 
004136 	221 	78 	109 	109 
004137 	221 	78 	109 	109 
004138 	221 	78 	109 	109 
004139 	221 	78 	109 	109 
004140 	233 	78 	109 	109 
004141 	233 	90 	109 	109 
004142 	244 	95 	90 	91 
004143 	254 	95 	90 	91 
004144 	245 	90 	109 	109 
004145 	245 	90 	109 	109 
004146 	254 	105 	90 	91 
004147 	254 	105 	90 	91 
004148 	254 	105 	90 	91 
004149 	254 	105 	90 	91 
004150 	244 	105 	90 	91 
004151 	254 	105 	90 	91 
004152 	254 	105 	90 	91 
004153 	254 	105 	90 	91 
004154 	254 	105 	90 	91 
004155 	254 	105 	90 	91 
004156 	254 	105 	90 	91 
004157 	254 	105 	90 	91 
004158 	244 	105 	90 	91 
004159 	254 	105 	90 	91 
004160 	245 	102 	109 	109 
004161 	254 	105 	90 	91 
004162 	245 	102 	109 	109 
004163 	245 	102 	109 	109 
004164 	245 	102 	109 	109 
004165 	254 	105 	90 	91 
004166 	254 	105 	90 	91 
004167 	254 	105 	90 	91 
004168 	245 	90 	109 	109 
004169 	245 	90 	109 	109 
004170 	245 	90 	109 	109 
004171 	245 	90 	109 	109 
004172 	245 	90 	109 	109 
004173 	245 	90 	109 	109 
004174 	245 	90 	109 	109 
004175 	245 	90 	109 	109 
004176 	233 	78 	109 	109 
004177 	233 	78 	109 	109 
004178 	245 	90 	109 	109 
004179 	245 	90 	109 	109 
004180 	254 	95 	90 	91 
004181 	233 	78 	109 	109 
004182 	245 	90 	109 	109 
004183 	233 	78 	109 	109 
004184 	245 	90 	109 	109 
004185 	233 	78 	109 	109 
004186 	233 	78 	109 	109 
004187 	233 	78 	109 	109 
004188 	233 	78 	109 	109 
004189 	233 	78 	109 	109 
004190 	233 	78 	109 	109 
004191 	233 	78 	109 	109 
004192 	233 	78 	109 	109 
004193 	244 	105 	90 	91 
004194 	244 	105 	90 	91 
004195 	233 	78 	109 	109 
004196 	244 	105 	90 	91 
004197 	244 	105 	90 	91 
004198 	244 	105 	90 	91 
004199 	244 	105 	90 	91 
004200 	244 	105 	90 	91 
004201 	233 	90 	109 	109 
004202 	233 	90 	109 	109 
004203 	233 	90 	109 	109 
004204 	233 	90 	109 	109 
004205 	233 	90 	109 	109 
004206 	233 	90 	109 	109 
004207 	233 	90 	109 	109 
004208 	233 	90 	109 	109 
004209 	244 	105 	90 	91 
004210 	244 	105 	90 	91 
004211 	244 	105 	90 	91 
004212 	244 	105 	90 	91 
004213 	244 	105 	90 	91 
004214 	244 	105 	90 	91 
004215 	244 	105 	90 	91 
004216 	244 	105 	90 	91 
004217 	244 	105 	90 	91 
004218 	244 	105 	90 	91 
004219 	244 	105 	90 	91 
004220 	244 	105 	90 	91 
004221 	244 	105 	90 	91 
004222 	244 	105 	90 	91 
004223 	244 	105 	90 	91 
004224 	244 	105 	90 	91 
004225 	244 	105 	90 	91 
004226 	244 	105 	90 	91 
004227 	244 	105 	90 	91 
004228 	244 	105 	90 	91 
004229 	244 	105 	90 	91 
004230 	244 	105 	90 	91 
004231 	244 	105 	90 	91 
004232 	244 	105 	90 	91 
004233 	244 	105 	90 	91 
004234 	244 	105 	90 	91 
004235 	244 	105 	90 	91 
004236 	244 	105 	90 	91 
004237 	244 	105 	90 	91 
004238 	244 	105 	90 	91 
004239 	244 	105 	90 	91 
004240 	244 	105 	90 	91 
004241 	233 	90 	109 	109 
004242 	233 	90 	109 	109 
004243 	221 	90 	109 	109 
004244 	221 	90 	109 	109 
004245 	221 	90 	109 	109 
004246 	221 	90 	109 	109 
004247 	221 	90 	109 	109 
