Identity  : 	id10271
Reference : 	LjLjQkfhd2o
Offset    : 	-2
FV Conf   : 	15.495
ASD Conf  : 	5.583

FRAME 	X 	Y 	W 	H 
000164 	293 	66 	108 	109 
000165 	293 	66 	108 	109 
000166 	293 	66 	108 	109 
000167 	293 	66 	108 	109 
000168 	293 	66 	108 	109 
000169 	293 	66 	108 	109 
000170 	305 	66 	108 	109 
000171 	305 	66 	108 	109 
000172 	305 	66 	108 	109 
000173 	317 	66 	108 	109 
000174 	317 	66 	108 	109 
000175 	317 	66 	108 	109 
000176 	317 	66 	108 	109 
000177 	333 	85 	91 	91 
000178 	333 	85 	91 	91 
000179 	333 	85 	91 	91 
000180 	317 	78 	108 	109 
000181 	317 	78 	108 	109 
000182 	317 	78 	108 	109 
000183 	317 	78 	108 	109 
000184 	317 	78 	108 	109 
000185 	317 	78 	108 	109 
000186 	317 	78 	108 	109 
000187 	317 	78 	108 	109 
000188 	317 	78 	108 	109 
000189 	317 	78 	108 	109 
000190 	317 	78 	108 	109 
000191 	329 	78 	108 	109 
000192 	329 	78 	108 	109 
000193 	329 	66 	108 	109 
000194 	329 	66 	108 	109 
000195 	329 	66 	108 	109 
000196 	329 	66 	108 	109 
000197 	329 	66 	108 	109 
000198 	329 	66 	108 	109 
000199 	341 	66 	108 	109 
000200 	341 	66 	108 	109 
000201 	341 	66 	108 	109 
000202 	329 	66 	108 	109 
000203 	329 	66 	108 	109 
000204 	329 	66 	108 	109 
000205 	329 	66 	108 	109 
000206 	329 	66 	108 	109 
000207 	329 	66 	108 	109 
000208 	329 	66 	108 	109 
000209 	329 	66 	108 	109 
000210 	329 	66 	108 	109 
000211 	329 	66 	108 	109 
000212 	329 	66 	108 	109 
000213 	329 	66 	108 	109 
000214 	329 	66 	108 	109 
000215 	329 	66 	108 	109 
000216 	329 	66 	108 	109 
000217 	329 	66 	108 	109 
000218 	343 	75 	91 	91 
000219 	343 	75 	91 	91 
000220 	343 	75 	91 	91 
000221 	343 	75 	91 	91 
000222 	343 	75 	91 	91 
000223 	341 	54 	108 	109 
000224 	341 	54 	108 	109 
000225 	341 	54 	108 	109 
000226 	341 	54 	108 	109 
000227 	341 	54 	108 	109 
000228 	341 	54 	108 	109 
000229 	341 	54 	108 	109 
000230 	341 	54 	108 	109 
000231 	341 	54 	108 	109 
000232 	343 	75 	91 	91 
000233 	343 	75 	91 	91 
000234 	343 	75 	91 	91 
000235 	333 	75 	91 	91 
000236 	333 	75 	91 	91 
000237 	317 	66 	108 	109 
000238 	317 	66 	108 	109 
000239 	317 	66 	108 	109 
000240 	317 	66 	108 	109 
000241 	317 	66 	108 	109 
000242 	317 	78 	108 	109 
000243 	317 	78 	108 	109 
000244 	317 	78 	108 	109 
000245 	317 	78 	108 	109 
000246 	305 	78 	108 	109 
000247 	305 	78 	108 	109 
000248 	305 	78 	108 	109 
000249 	305 	78 	108 	109 
000250 	305 	78 	108 	109 
000251 	305 	78 	108 	109 
000252 	293 	78 	108 	109 
000253 	293 	78 	108 	109 
000254 	293 	78 	108 	109 
000255 	297 	79 	108 	109 
000256 	300 	80 	108 	109 
000257 	304 	81 	108 	109 
000258 	308 	82 	108 	109 
000259 	311 	83 	108 	109 
000260 	315 	84 	108 	109 
000261 	319 	84 	108 	109 
000262 	323 	85 	108 	109 
000263 	326 	86 	108 	109 
000264 	330 	87 	108 	109 
000265 	334 	88 	108 	109 
000266 	337 	89 	108 	109 
000267 	341 	90 	108 	109 
000268 	341 	90 	108 	109 
000269 	341 	78 	108 	109 
000270 	353 	95 	91 	91 
000271 	352 	95 	91 	91 
000272 	351 	94 	92 	92 
000273 	350 	94 	92 	92 
000274 	349 	93 	92 	92 
000275 	348 	93 	92 	93 
000276 	347 	92 	93 	93 
000277 	346 	92 	93 	93 
000278 	345 	91 	93 	93 
000279 	344 	91 	94 	94 
000280 	343 	90 	94 	94 
000281 	342 	90 	94 	94 
000282 	341 	89 	94 	95 
000283 	340 	89 	95 	95 
000284 	339 	88 	95 	95 
000285 	338 	88 	95 	96 
000286 	337 	87 	96 	96 
000287 	336 	87 	96 	96 
000288 	335 	86 	96 	96 
000289 	334 	86 	96 	97 
000290 	333 	85 	97 	97 
000291 	332 	85 	97 	97 
000292 	331 	84 	97 	98 
000293 	330 	84 	98 	98 
000294 	329 	83 	98 	98 
000295 	328 	83 	98 	99 
000296 	327 	82 	98 	99 
000297 	326 	82 	99 	99 
000298 	325 	81 	99 	100 
