Identity  : 	id10271
Reference : 	OZcAiOZBNjQ
Offset    : 	-4
FV Conf   : 	12.981
ASD Conf  : 	6.893

FRAME 	X 	Y 	W 	H 
007966 	161 	90 	109 	109 
007967 	161 	90 	109 	109 
007968 	161 	90 	109 	109 
007969 	173 	90 	109 	109 
007970 	173 	90 	109 	109 
007971 	173 	90 	109 	109 
007972 	173 	90 	109 	109 
007973 	173 	90 	109 	109 
007974 	173 	90 	109 	109 
007975 	173 	90 	109 	109 
007976 	173 	90 	109 	109 
007977 	173 	90 	109 	109 
007978 	165 	80 	130 	130 
007979 	165 	80 	130 	130 
007980 	165 	80 	130 	130 
007981 	165 	80 	130 	130 
007982 	173 	102 	109 	109 
007983 	173 	102 	109 	109 
007984 	173 	90 	109 	109 
007985 	173 	102 	109 	109 
007986 	173 	102 	109 	109 
007987 	173 	102 	109 	109 
007988 	173 	102 	109 	109 
007989 	161 	102 	109 	109 
007990 	161 	102 	109 	109 
007991 	161 	102 	109 	109 
007992 	161 	102 	109 	109 
007993 	161 	102 	109 	109 
007994 	161 	102 	109 	109 
007995 	161 	102 	109 	109 
007996 	161 	102 	109 	109 
007997 	161 	102 	109 	109 
007998 	161 	102 	109 	109 
007999 	150 	102 	108 	109 
008000 	150 	102 	108 	109 
008001 	150 	102 	108 	109 
008002 	150 	102 	108 	109 
008003 	150 	102 	108 	109 
008004 	150 	102 	108 	109 
008005 	150 	102 	108 	109 
008006 	150 	102 	108 	109 
008007 	150 	102 	108 	109 
008008 	138 	102 	108 	109 
008009 	138 	102 	108 	109 
008010 	138 	102 	108 	109 
008011 	138 	102 	108 	109 
008012 	138 	102 	108 	109 
008013 	138 	102 	108 	109 
008014 	138 	102 	108 	109 
008015 	138 	102 	108 	109 
008016 	138 	102 	108 	109 
008017 	138 	102 	108 	109 
008018 	138 	102 	108 	109 
008019 	138 	102 	108 	109 
008020 	138 	102 	108 	109 
008021 	138 	102 	108 	109 
008022 	138 	102 	108 	109 
008023 	138 	102 	108 	109 
008024 	138 	102 	108 	109 
008025 	138 	90 	108 	109 
008026 	138 	90 	108 	109 
008027 	138 	90 	108 	109 
008028 	150 	90 	108 	109 
008029 	150 	90 	108 	109 
008030 	150 	90 	108 	109 
008031 	150 	90 	108 	109 
008032 	150 	90 	108 	109 
008033 	150 	90 	108 	109 
008034 	161 	90 	109 	109 
008035 	161 	90 	109 	109 
008036 	161 	90 	109 	109 
008037 	161 	90 	109 	109 
008038 	173 	90 	109 	109 
008039 	173 	90 	109 	109 
008040 	173 	90 	109 	109 
008041 	173 	90 	109 	109 
008042 	165 	66 	130 	130 
008043 	185 	78 	109 	109 
008044 	185 	78 	109 	109 
008045 	185 	78 	109 	109 
008046 	185 	78 	109 	109 
008047 	185 	78 	109 	109 
008048 	185 	78 	109 	109 
008049 	185 	78 	109 	109 
008050 	185 	90 	109 	109 
008051 	185 	90 	109 	109 
008052 	185 	90 	109 	109 
008053 	185 	90 	109 	109 
008054 	185 	90 	109 	109 
008055 	185 	90 	109 	109 
008056 	185 	90 	109 	109 
008057 	185 	90 	109 	109 
008058 	197 	90 	109 	109 
008059 	197 	90 	109 	109 
008060 	197 	78 	109 	109 
008061 	197 	78 	109 	109 
008062 	197 	78 	109 	109 
008063 	197 	78 	109 	109 
008064 	197 	78 	109 	109 
008065 	197 	78 	109 	109 
008066 	197 	90 	109 	109 
008067 	197 	90 	109 	109 
008068 	197 	90 	109 	109 
008069 	197 	90 	109 	109 
008070 	197 	90 	109 	109 
008071 	185 	90 	109 	109 
008072 	185 	90 	109 	109 
008073 	185 	90 	109 	109 
008074 	185 	90 	109 	109 
008075 	185 	90 	109 	109 
008076 	185 	90 	109 	109 
008077 	185 	90 	109 	109 
008078 	185 	90 	109 	109 
008079 	185 	90 	109 	109 
008080 	185 	90 	109 	109 
008081 	185 	90 	109 	109 
008082 	185 	90 	109 	109 
008083 	185 	90 	109 	109 
008084 	185 	90 	109 	109 
008085 	185 	90 	109 	109 
008086 	185 	90 	109 	109 
008087 	185 	90 	109 	109 
008088 	185 	90 	109 	109 
008089 	185 	90 	109 	109 
008090 	185 	90 	109 	109 
008091 	185 	90 	109 	109 
008092 	185 	90 	109 	109 
008093 	185 	90 	109 	109 
008094 	185 	90 	109 	109 
008095 	185 	90 	109 	109 
008096 	185 	90 	109 	109 
008097 	185 	90 	109 	109 
008098 	185 	90 	109 	109 
008099 	185 	90 	109 	109 
