Identity  : 	id10271
Reference : 	PMWQqW_ia58
Offset    : 	0
FV Conf   : 	21.341
ASD Conf  : 	5.358

FRAME 	X 	Y 	W 	H 
001170 	216 	79 	156 	156 
001171 	216 	79 	156 	156 
001172 	197 	53 	187 	187 
001173 	197 	53 	187 	187 
001174 	197 	53 	187 	187 
001175 	197 	53 	187 	187 
001176 	197 	74 	187 	187 
001177 	197 	74 	187 	187 
001178 	197 	74 	187 	187 
001179 	197 	74 	187 	187 
001180 	197 	74 	187 	187 
001181 	218 	74 	187 	187 
001182 	233 	79 	156 	156 
001183 	233 	79 	156 	156 
001184 	233 	79 	156 	156 
001185 	233 	79 	156 	156 
001186 	233 	79 	156 	156 
001187 	233 	79 	156 	156 
001188 	197 	53 	187 	187 
001189 	197 	53 	187 	187 
001190 	197 	53 	187 	187 
001191 	197 	53 	187 	187 
001192 	197 	53 	187 	187 
001193 	197 	53 	187 	187 
001194 	197 	53 	187 	187 
001195 	197 	53 	187 	187 
001196 	197 	53 	187 	187 
001197 	233 	79 	156 	156 
001198 	233 	79 	156 	156 
001199 	218 	53 	187 	187 
001200 	218 	53 	187 	187 
001201 	218 	53 	187 	187 
001202 	218 	53 	187 	187 
001203 	218 	53 	187 	187 
001204 	233 	79 	156 	156 
001205 	233 	79 	156 	156 
001206 	233 	79 	156 	156 
001207 	197 	53 	187 	187 
001208 	197 	53 	187 	187 
001209 	197 	53 	187 	187 
001210 	197 	53 	187 	187 
001211 	197 	53 	187 	187 
001212 	197 	53 	187 	187 
001213 	197 	53 	187 	187 
001214 	197 	53 	187 	187 
001215 	177 	53 	187 	187 
001216 	177 	53 	187 	187 
001217 	199 	62 	155 	155 
001218 	199 	62 	155 	155 
001219 	199 	62 	155 	155 
001220 	199 	62 	155 	155 
001221 	177 	53 	187 	187 
001222 	199 	62 	155 	155 
001223 	199 	62 	155 	155 
001224 	199 	62 	155 	155 
001225 	199 	62 	155 	155 
001226 	199 	62 	155 	155 
001227 	199 	62 	155 	155 
001228 	199 	62 	155 	155 
001229 	199 	62 	155 	155 
001230 	199 	62 	155 	155 
001231 	199 	62 	155 	155 
001232 	199 	62 	155 	155 
001233 	177 	53 	187 	187 
001234 	177 	53 	187 	187 
001235 	177 	53 	187 	187 
001236 	177 	53 	187 	187 
001237 	177 	53 	187 	187 
001238 	177 	53 	187 	187 
001239 	177 	53 	187 	187 
001240 	177 	53 	187 	187 
001241 	177 	53 	187 	187 
001242 	177 	53 	187 	187 
001243 	177 	53 	187 	187 
001244 	177 	53 	187 	187 
001245 	177 	53 	187 	187 
001246 	177 	53 	187 	187 
001247 	197 	53 	187 	187 
001248 	197 	53 	187 	187 
001249 	197 	53 	187 	187 
001250 	197 	53 	187 	187 
001251 	197 	53 	187 	187 
001252 	197 	53 	187 	187 
001253 	177 	53 	187 	187 
001254 	177 	53 	187 	187 
001255 	199 	79 	155 	156 
001256 	199 	79 	155 	156 
001257 	199 	79 	155 	156 
001258 	199 	79 	155 	156 
001259 	199 	79 	155 	156 
001260 	199 	79 	155 	156 
001261 	199 	79 	155 	156 
001262 	216 	79 	156 	156 
001263 	216 	79 	156 	156 
001264 	216 	79 	156 	156 
001265 	216 	79 	156 	156 
001266 	197 	74 	187 	187 
001267 	216 	96 	156 	156 
001268 	216 	96 	156 	156 
001269 	216 	96 	156 	156 
001270 	216 	96 	156 	156 
001271 	216 	96 	156 	156 
001272 	216 	96 	156 	156 
001273 	216 	96 	156 	156 
001274 	216 	96 	156 	156 
001275 	216 	96 	156 	156 
001276 	216 	96 	156 	156 
001277 	216 	96 	156 	156 
001278 	216 	96 	156 	156 
001279 	216 	96 	156 	156 
001280 	216 	96 	156 	156 
001281 	216 	96 	156 	156 
001282 	216 	96 	156 	156 
001283 	216 	96 	156 	156 
001284 	216 	96 	156 	156 
001285 	216 	96 	156 	156 
001286 	216 	96 	156 	156 
001287 	216 	96 	156 	156 
001288 	199 	96 	155 	156 
001289 	199 	96 	155 	156 
001290 	199 	96 	155 	156 
001291 	199 	96 	155 	156 
001292 	216 	96 	156 	156 
001293 	216 	96 	156 	156 
001294 	216 	96 	156 	156 
001295 	216 	96 	156 	156 
001296 	216 	96 	156 	156 
001297 	216 	96 	156 	156 
001298 	216 	96 	156 	156 
001299 	216 	96 	156 	156 
001300 	216 	96 	156 	156 
001301 	216 	96 	156 	156 
001302 	216 	96 	156 	156 
001303 	216 	96 	156 	156 
