Identity  : 	id10271
Reference : 	PfcJLmkhGbk
Offset    : 	-1
FV Conf   : 	12.038
ASD Conf  : 	6.018

FRAME 	X 	Y 	W 	H 
001443 	151 	94 	130 	130 
001444 	151 	94 	130 	130 
001445 	173 	102 	109 	109 
001446 	173 	102 	109 	109 
001447 	173 	102 	109 	109 
001448 	173 	102 	109 	109 
001449 	173 	102 	109 	109 
001450 	173 	102 	109 	109 
001451 	173 	102 	109 	109 
001452 	165 	94 	130 	130 
001453 	165 	94 	130 	130 
001454 	165 	94 	130 	130 
001455 	185 	102 	109 	109 
001456 	180 	94 	130 	130 
001457 	197 	114 	109 	109 
001458 	197 	114 	109 	109 
001459 	209 	114 	109 	109 
001460 	209 	114 	109 	109 
001461 	209 	114 	109 	109 
001462 	221 	114 	109 	109 
001463 	221 	114 	109 	109 
001464 	221 	114 	109 	109 
001465 	221 	114 	109 	109 
001466 	221 	114 	109 	109 
001467 	221 	114 	109 	109 
001468 	221 	114 	109 	109 
001469 	233 	114 	109 	109 
001470 	233 	114 	109 	109 
001471 	233 	114 	109 	109 
001472 	233 	114 	109 	109 
001473 	233 	114 	109 	109 
001474 	233 	114 	109 	109 
001475 	233 	114 	109 	109 
001476 	233 	114 	109 	109 
001477 	233 	114 	109 	109 
001478 	233 	114 	109 	109 
001479 	221 	114 	109 	109 
001480 	221 	114 	109 	109 
001481 	221 	114 	109 	109 
001482 	221 	114 	109 	109 
001483 	221 	114 	109 	109 
001484 	221 	114 	109 	109 
001485 	221 	114 	109 	109 
001486 	221 	114 	109 	109 
001487 	221 	114 	109 	109 
001488 	233 	114 	109 	109 
001489 	233 	114 	109 	109 
001490 	233 	114 	109 	109 
001491 	233 	114 	109 	109 
001492 	233 	114 	109 	109 
001493 	233 	114 	109 	109 
001494 	233 	114 	109 	109 
001495 	233 	114 	109 	109 
001496 	233 	114 	109 	109 
001497 	233 	114 	109 	109 
001498 	233 	114 	109 	109 
001499 	233 	114 	109 	109 
001500 	233 	102 	109 	109 
001501 	233 	102 	109 	109 
001502 	233 	114 	109 	109 
001503 	233 	102 	109 	109 
001504 	233 	102 	109 	109 
001505 	233 	102 	109 	109 
001506 	233 	102 	109 	109 
001507 	233 	102 	109 	109 
001508 	223 	94 	130 	130 
001509 	223 	94 	130 	130 
