Identity  : 	id10271
Reference : 	PiXU2UZAh-0
Offset    : 	2
FV Conf   : 	18.120
ASD Conf  : 	4.915

FRAME 	X 	Y 	W 	H 
003676 	269 	104 	76 	76 
003677 	269 	104 	76 	76 
003678 	269 	104 	76 	76 
003679 	269 	104 	76 	76 
003680 	269 	104 	76 	76 
003681 	269 	104 	76 	76 
003682 	269 	104 	76 	76 
003683 	269 	104 	76 	76 
003684 	269 	104 	76 	76 
003685 	269 	104 	76 	76 
003686 	269 	104 	76 	76 
003687 	269 	104 	76 	76 
003688 	269 	104 	76 	76 
003689 	269 	104 	76 	76 
003690 	278 	104 	75 	76 
003691 	269 	104 	76 	76 
003692 	278 	104 	75 	76 
003693 	278 	104 	75 	76 
003694 	278 	104 	75 	76 
003695 	278 	104 	75 	76 
003696 	278 	104 	75 	76 
003697 	278 	104 	75 	76 
003698 	278 	104 	75 	76 
003699 	278 	104 	75 	76 
003700 	278 	104 	75 	76 
003701 	278 	104 	75 	76 
003702 	278 	104 	75 	76 
003703 	278 	104 	75 	76 
003704 	278 	104 	75 	76 
003705 	278 	104 	75 	76 
003706 	278 	104 	75 	76 
003707 	278 	104 	75 	76 
003708 	278 	104 	75 	76 
003709 	278 	104 	75 	76 
003710 	278 	104 	75 	76 
003711 	278 	104 	75 	76 
003712 	278 	104 	75 	76 
003713 	278 	104 	75 	76 
003714 	278 	104 	75 	76 
003715 	278 	104 	75 	76 
003716 	278 	104 	75 	76 
003717 	278 	104 	75 	76 
003718 	278 	104 	75 	76 
003719 	278 	104 	75 	76 
003720 	278 	104 	75 	76 
003721 	278 	104 	75 	76 
003722 	278 	104 	75 	76 
003723 	278 	104 	75 	76 
003724 	278 	104 	75 	76 
003725 	278 	104 	75 	76 
003726 	278 	104 	75 	76 
003727 	278 	104 	75 	76 
003728 	278 	104 	75 	76 
003729 	278 	104 	75 	76 
003730 	278 	104 	75 	76 
003731 	278 	104 	75 	76 
003732 	269 	104 	76 	76 
003733 	269 	104 	76 	76 
003734 	269 	104 	76 	76 
003735 	269 	104 	76 	76 
003736 	269 	104 	76 	76 
003737 	269 	104 	76 	76 
003738 	269 	104 	76 	76 
003739 	269 	104 	76 	76 
003740 	269 	104 	76 	76 
003741 	269 	104 	76 	76 
003742 	269 	104 	76 	76 
003743 	269 	104 	76 	76 
003744 	269 	104 	76 	76 
003745 	269 	104 	76 	76 
003746 	269 	104 	76 	76 
003747 	269 	104 	76 	76 
003748 	269 	104 	76 	76 
003749 	269 	104 	76 	76 
003750 	269 	104 	76 	76 
003751 	269 	104 	76 	76 
003752 	269 	104 	76 	76 
003753 	269 	104 	76 	76 
003754 	269 	104 	76 	76 
003755 	269 	104 	76 	76 
003756 	269 	104 	76 	76 
003757 	269 	104 	76 	76 
003758 	269 	104 	76 	76 
003759 	269 	104 	76 	76 
003760 	269 	104 	76 	76 
003761 	269 	104 	76 	76 
003762 	269 	104 	76 	76 
003763 	269 	104 	76 	76 
003764 	269 	104 	76 	76 
003765 	269 	104 	76 	76 
003766 	269 	104 	76 	76 
003767 	269 	104 	76 	76 
003768 	278 	104 	75 	76 
003769 	278 	104 	75 	76 
003770 	278 	104 	75 	76 
003771 	278 	104 	75 	76 
003772 	278 	104 	75 	76 
003773 	278 	104 	75 	76 
003774 	278 	104 	75 	76 
003775 	278 	104 	75 	76 
003776 	278 	104 	75 	76 
003777 	278 	104 	75 	76 
003778 	269 	104 	76 	76 
003779 	269 	104 	76 	76 
003780 	269 	96 	76 	75 
003781 	269 	96 	76 	75 
