Identity  : 	id10271
Reference : 	Zjc7Xy7aT8c
Offset    : 	-1
FV Conf   : 	19.715
ASD Conf  : 	9.782

FRAME 	X 	Y 	W 	H 
000891 	317 	78 	108 	109 
000892 	317 	78 	108 	109 
000893 	317 	78 	108 	109 
000894 	317 	78 	108 	109 
000895 	305 	78 	108 	109 
000896 	305 	90 	108 	109 
000897 	293 	90 	108 	109 
000898 	281 	90 	108 	109 
000899 	266 	80 	130 	130 
000900 	269 	102 	108 	109 
000901 	251 	94 	130 	130 
000902 	257 	102 	109 	109 
000903 	237 	94 	130 	130 
000904 	245 	102 	109 	109 
000905 	245 	114 	109 	109 
000906 	233 	102 	109 	109 
000907 	233 	102 	109 	109 
000908 	233 	102 	109 	109 
000909 	233 	102 	109 	109 
000910 	208 	80 	130 	130 
000911 	208 	80 	130 	130 
000912 	208 	80 	130 	130 
000913 	233 	90 	109 	109 
000914 	233 	90 	109 	109 
000915 	233 	90 	109 	109 
000916 	233 	90 	109 	109 
000917 	233 	90 	109 	109 
000918 	233 	90 	109 	109 
000919 	233 	90 	109 	109 
000920 	233 	90 	109 	109 
000921 	223 	80 	130 	130 
000922 	223 	80 	130 	130 
000923 	223 	80 	130 	130 
000924 	245 	90 	109 	109 
000925 	245 	90 	109 	109 
000926 	237 	80 	130 	130 
000927 	237 	80 	130 	130 
000928 	257 	90 	109 	109 
000929 	257 	90 	109 	109 
000930 	251 	80 	130 	130 
000931 	251 	80 	130 	130 
000932 	251 	80 	130 	130 
000933 	269 	90 	108 	109 
000934 	269 	90 	108 	109 
000935 	281 	102 	108 	109 
000936 	281 	102 	108 	109 
000937 	281 	102 	108 	109 
000938 	281 	102 	108 	109 
000939 	281 	114 	108 	109 
000940 	294 	115 	90 	91 
000941 	294 	115 	90 	91 
000942 	294 	115 	90 	91 
000943 	294 	115 	90 	91 
000944 	294 	115 	90 	91 
000945 	294 	115 	90 	91 
000946 	293 	102 	108 	109 
000947 	293 	102 	108 	109 
000948 	293 	102 	108 	109 
000949 	293 	90 	108 	109 
000950 	293 	90 	108 	109 
000951 	294 	66 	130 	130 
000952 	294 	66 	130 	130 
000953 	305 	78 	108 	109 
000954 	305 	66 	108 	109 
000955 	305 	66 	108 	109 
000956 	305 	66 	108 	109 
000957 	294 	51 	130 	130 
000958 	317 	66 	108 	109 
000959 	317 	66 	108 	109 
000960 	317 	54 	108 	109 
000961 	317 	54 	108 	109 
000962 	317 	54 	108 	109 
000963 	317 	54 	108 	109 
000964 	309 	51 	130 	130 
000965 	317 	66 	108 	109 
000966 	317 	66 	108 	109 
000967 	317 	66 	108 	109 
000968 	317 	66 	108 	109 
000969 	309 	66 	130 	130 
000970 	329 	78 	108 	109 
000971 	329 	90 	108 	109 
000972 	329 	90 	108 	109 
000973 	329 	90 	108 	109 
000974 	329 	90 	108 	109 
000975 	329 	90 	108 	109 
000976 	329 	90 	108 	109 
000977 	317 	90 	108 	109 
000978 	317 	90 	108 	109 
000979 	305 	90 	108 	109 
000980 	305 	90 	108 	109 
000981 	294 	80 	130 	130 
000982 	317 	78 	108 	109 
000983 	317 	78 	108 	109 
000984 	317 	78 	108 	109 
000985 	317 	78 	108 	109 
000986 	317 	78 	108 	109 
000987 	317 	78 	108 	109 
000988 	317 	78 	108 	109 
000989 	317 	90 	108 	109 
000990 	317 	90 	108 	109 
000991 	317 	78 	108 	109 
000992 	317 	78 	108 	109 
000993 	317 	78 	108 	109 
000994 	317 	90 	108 	109 
000995 	294 	80 	130 	130 
000996 	280 	80 	130 	130 
000997 	294 	80 	130 	130 
