Identity  : 	id10271
Reference : 	_YimahVgI1A
Offset    : 	-4
FV Conf   : 	21.315
ASD Conf  : 	5.609

FRAME 	X 	Y 	W 	H 
000430 	183 	38 	63 	63 
000431 	183 	38 	63 	63 
000432 	183 	38 	63 	63 
000433 	178 	29 	76 	76 
000434 	178 	29 	76 	76 
000435 	178 	29 	76 	76 
000436 	178 	29 	76 	76 
000437 	178 	29 	76 	76 
000438 	190 	31 	63 	63 
000439 	190 	38 	63 	63 
000440 	190 	38 	63 	63 
000441 	190 	38 	63 	63 
000442 	190 	38 	63 	63 
000443 	190 	38 	63 	63 
000444 	190 	38 	63 	63 
000445 	178 	29 	76 	76 
000446 	178 	38 	76 	75 
000447 	178 	38 	76 	75 
000448 	183 	45 	63 	63 
000449 	183 	45 	63 	63 
000450 	170 	38 	75 	75 
000451 	183 	45 	63 	63 
000452 	176 	52 	63 	63 
000453 	176 	52 	63 	63 
000454 	176 	52 	63 	63 
000455 	170 	46 	75 	76 
000456 	170 	46 	75 	76 
000457 	170 	46 	75 	76 
000458 	170 	46 	75 	76 
000459 	170 	46 	75 	76 
000460 	170 	46 	75 	76 
000461 	170 	46 	75 	76 
000462 	183 	59 	63 	63 
000463 	183 	59 	63 	63 
000464 	178 	54 	76 	76 
000465 	178 	54 	76 	76 
000466 	178 	54 	76 	76 
000467 	178 	54 	76 	76 
000468 	190 	66 	63 	63 
000469 	190 	66 	63 	63 
000470 	186 	62 	76 	76 
000471 	197 	66 	63 	63 
000472 	197 	66 	63 	63 
000473 	197 	66 	63 	63 
000474 	197 	66 	63 	63 
000475 	195 	62 	75 	76 
000476 	195 	62 	75 	76 
000477 	195 	62 	75 	76 
000478 	195 	62 	75 	76 
000479 	195 	62 	75 	76 
000480 	195 	62 	75 	76 
000481 	195 	62 	75 	76 
000482 	195 	62 	75 	76 
000483 	195 	62 	75 	76 
000484 	195 	62 	75 	76 
000485 	195 	62 	75 	76 
000486 	195 	62 	75 	76 
000487 	195 	62 	75 	76 
000488 	197 	66 	63 	63 
000489 	197 	66 	63 	63 
000490 	186 	62 	76 	76 
000491 	186 	62 	76 	76 
000492 	186 	62 	76 	76 
000493 	186 	62 	76 	76 
000494 	186 	62 	76 	76 
000495 	186 	62 	76 	76 
000496 	186 	62 	76 	76 
000497 	186 	62 	76 	76 
000498 	186 	62 	76 	76 
000499 	186 	62 	76 	76 
000500 	186 	62 	76 	76 
000501 	186 	62 	76 	76 
000502 	186 	62 	76 	76 
000503 	186 	54 	76 	76 
000504 	186 	54 	76 	76 
000505 	197 	59 	63 	63 
000506 	195 	54 	75 	76 
000507 	195 	54 	75 	76 
000508 	203 	54 	76 	76 
000509 	203 	54 	76 	76 
000510 	203 	54 	76 	76 
000511 	203 	54 	76 	76 
000512 	203 	54 	76 	76 
000513 	203 	54 	76 	76 
000514 	203 	54 	76 	76 
000515 	203 	54 	76 	76 
000516 	203 	54 	76 	76 
000517 	203 	54 	76 	76 
000518 	203 	54 	76 	76 
000519 	203 	54 	76 	76 
000520 	203 	54 	76 	76 
000521 	203 	54 	76 	76 
000522 	211 	54 	76 	76 
000523 	211 	54 	76 	76 
000524 	211 	54 	76 	76 
000525 	211 	54 	76 	76 
000526 	211 	54 	76 	76 
000527 	211 	54 	76 	76 
000528 	211 	54 	76 	76 
000529 	211 	54 	76 	76 
000530 	211 	54 	76 	76 
000531 	211 	54 	76 	76 
000532 	211 	54 	76 	76 
