Identity  : 	id10271
Reference : 	_pOfzIZVLFQ
Offset    : 	-2
FV Conf   : 	13.392
ASD Conf  : 	5.311

FRAME 	X 	Y 	W 	H 
005130 	281 	90 	108 	109 
005131 	281 	90 	108 	109 
005132 	281 	90 	108 	109 
005133 	281 	90 	108 	109 
005134 	281 	90 	108 	109 
005135 	281 	90 	108 	109 
005136 	269 	90 	108 	109 
005137 	269 	90 	108 	109 
005138 	269 	90 	108 	109 
005139 	269 	90 	108 	109 
005140 	269 	90 	108 	109 
005141 	269 	90 	108 	109 
005142 	269 	90 	108 	109 
005143 	269 	90 	108 	109 
005144 	269 	90 	108 	109 
005145 	269 	90 	108 	109 
005146 	269 	90 	108 	109 
005147 	269 	90 	108 	109 
005148 	269 	90 	108 	109 
005149 	269 	90 	108 	109 
005150 	269 	90 	108 	109 
005151 	269 	90 	108 	109 
005152 	269 	90 	108 	109 
005153 	269 	90 	108 	109 
005154 	269 	90 	108 	109 
005155 	269 	90 	108 	109 
005156 	281 	90 	108 	109 
005157 	281 	90 	108 	109 
005158 	281 	90 	108 	109 
005159 	281 	90 	108 	109 
005160 	281 	90 	108 	109 
005161 	281 	90 	108 	109 
005162 	293 	90 	108 	109 
005163 	293 	90 	108 	109 
005164 	293 	90 	108 	109 
005165 	293 	90 	108 	109 
005166 	305 	90 	108 	109 
005167 	305 	90 	108 	109 
005168 	305 	90 	108 	109 
005169 	305 	78 	108 	109 
005170 	305 	78 	108 	109 
005171 	305 	78 	108 	109 
005172 	305 	78 	108 	109 
005173 	305 	78 	108 	109 
005174 	305 	78 	108 	109 
005175 	305 	78 	108 	109 
005176 	305 	78 	108 	109 
005177 	305 	78 	108 	109 
005178 	305 	78 	108 	109 
005179 	305 	78 	108 	109 
005180 	305 	78 	108 	109 
005181 	305 	78 	108 	109 
005182 	305 	78 	108 	109 
005183 	305 	78 	108 	109 
005184 	305 	78 	108 	109 
005185 	305 	78 	108 	109 
005186 	305 	78 	108 	109 
005187 	305 	78 	108 	109 
005188 	305 	78 	108 	109 
005189 	305 	78 	108 	109 
005190 	305 	78 	108 	109 
005191 	305 	78 	108 	109 
005192 	305 	78 	108 	109 
005193 	305 	78 	108 	109 
005194 	305 	78 	108 	109 
005195 	305 	78 	108 	109 
005196 	305 	78 	108 	109 
005197 	305 	78 	108 	109 
005198 	305 	78 	108 	109 
005199 	305 	78 	108 	109 
005200 	305 	78 	108 	109 
005201 	305 	78 	108 	109 
005202 	305 	78 	108 	109 
005203 	305 	78 	108 	109 
005204 	305 	78 	108 	109 
005205 	305 	78 	108 	109 
005206 	305 	78 	108 	109 
005207 	305 	78 	108 	109 
005208 	305 	78 	108 	109 
005209 	305 	90 	108 	109 
005210 	305 	90 	108 	109 
005211 	305 	90 	108 	109 
005212 	305 	90 	108 	109 
005213 	305 	90 	108 	109 
005214 	305 	90 	108 	109 
005215 	305 	90 	108 	109 
005216 	305 	90 	108 	109 
005217 	305 	90 	108 	109 
005218 	305 	90 	108 	109 
005219 	305 	90 	108 	109 
005220 	305 	90 	108 	109 
005221 	305 	90 	108 	109 
005222 	293 	90 	108 	109 
005223 	293 	90 	108 	109 
005224 	293 	90 	108 	109 
005225 	293 	90 	108 	109 
005226 	293 	90 	108 	109 
005227 	293 	90 	108 	109 
005228 	293 	90 	108 	109 
005229 	293 	90 	108 	109 
005230 	281 	90 	108 	109 
005231 	281 	90 	108 	109 
005232 	281 	90 	108 	109 
005233 	281 	90 	108 	109 
005234 	281 	90 	108 	109 
005235 	266 	80 	130 	130 
005236 	269 	90 	108 	109 
005237 	269 	90 	108 	109 
005238 	269 	90 	108 	109 
005239 	281 	90 	108 	109 
005240 	281 	90 	108 	109 
005241 	281 	90 	108 	109 
005242 	281 	90 	108 	109 
005243 	281 	90 	108 	109 
005244 	281 	90 	108 	109 
005245 	281 	90 	108 	109 
005246 	269 	90 	108 	109 
005247 	281 	90 	108 	109 
005248 	281 	102 	108 	109 
005249 	281 	102 	108 	109 
005250 	281 	102 	108 	109 
005251 	281 	102 	108 	109 
005252 	293 	102 	108 	109 
005253 	293 	102 	108 	109 
005254 	293 	102 	108 	109 
005255 	293 	102 	108 	109 
005256 	293 	102 	108 	109 
005257 	293 	102 	108 	109 
005258 	293 	102 	108 	109 
005259 	293 	102 	108 	109 
005260 	293 	102 	108 	109 
005261 	293 	102 	108 	109 
005262 	293 	102 	108 	109 
005263 	293 	102 	108 	109 
005264 	293 	102 	108 	109 
005265 	293 	102 	108 	109 
005266 	293 	102 	108 	109 
005267 	293 	102 	108 	109 
005268 	293 	102 	108 	109 
005269 	293 	102 	108 	109 
005270 	293 	102 	108 	109 
005271 	293 	102 	108 	109 
005272 	305 	102 	108 	109 
005273 	293 	102 	108 	109 
005274 	305 	102 	108 	109 
005275 	305 	102 	108 	109 
005276 	293 	102 	108 	109 
005277 	293 	102 	108 	109 
005278 	293 	102 	108 	109 
005279 	293 	102 	108 	109 
005280 	293 	102 	108 	109 
005281 	293 	102 	108 	109 
005282 	293 	102 	108 	109 
005283 	281 	102 	108 	109 
