Identity  : 	id10271
Reference : 	djK87iSSKQo
Offset    : 	-2
FV Conf   : 	13.703
ASD Conf  : 	7.894

FRAME 	X 	Y 	W 	H 
000170 	144 	85 	91 	91 
000171 	144 	85 	91 	91 
000172 	144 	85 	91 	91 
000173 	153 	87 	76 	76 
000174 	144 	95 	91 	91 
000175 	153 	87 	76 	76 
000176 	153 	87 	76 	76 
000177 	154 	95 	91 	91 
000178 	154 	85 	91 	91 
000179 	154 	85 	91 	91 
000180 	154 	85 	91 	91 
000181 	154 	85 	91 	91 
000182 	154 	85 	91 	91 
000183 	154 	85 	91 	91 
000184 	154 	85 	91 	91 
000185 	154 	85 	91 	91 
000186 	154 	85 	91 	91 
000187 	154 	85 	91 	91 
000188 	154 	85 	91 	91 
000189 	154 	85 	91 	91 
000190 	154 	85 	91 	91 
000191 	154 	85 	91 	91 
000192 	154 	85 	91 	91 
000193 	162 	87 	75 	76 
000194 	154 	85 	91 	91 
000195 	154 	85 	91 	91 
000196 	154 	85 	91 	91 
000197 	154 	85 	91 	91 
000198 	162 	96 	75 	75 
000199 	162 	96 	75 	75 
000200 	164 	95 	91 	91 
000201 	164 	95 	91 	91 
000202 	164 	95 	91 	91 
000203 	164 	95 	91 	91 
000204 	164 	95 	91 	91 
000205 	164 	95 	91 	91 
000206 	161 	90 	109 	109 
000207 	161 	90 	109 	109 
000208 	161 	90 	109 	109 
000209 	161 	90 	109 	109 
000210 	161 	90 	109 	109 
000211 	161 	90 	109 	109 
000212 	161 	90 	109 	109 
000213 	161 	90 	109 	109 
000214 	161 	90 	109 	109 
000215 	161 	90 	109 	109 
000216 	161 	90 	109 	109 
000217 	164 	105 	91 	91 
000218 	164 	105 	91 	91 
000219 	164 	105 	91 	91 
000220 	164 	105 	91 	91 
000221 	164 	105 	91 	91 
000222 	164 	105 	91 	91 
000223 	164 	105 	91 	91 
000224 	164 	105 	91 	91 
000225 	164 	105 	91 	91 
000226 	164 	105 	91 	91 
000227 	161 	102 	91 	91 
000228 	157 	98 	91 	91 
000229 	154 	95 	91 	91 
000230 	154 	95 	91 	91 
000231 	154 	105 	91 	91 
000232 	154 	105 	91 	91 
000233 	154 	115 	91 	91 
000234 	154 	115 	91 	91 
000235 	154 	115 	91 	91 
000236 	144 	105 	91 	91 
000237 	144 	105 	91 	91 
000238 	144 	105 	91 	91 
000239 	144 	105 	91 	91 
000240 	144 	115 	91 	91 
000241 	144 	115 	91 	91 
000242 	144 	115 	91 	91 
000243 	144 	115 	91 	91 
000244 	144 	105 	91 	91 
000245 	144 	105 	91 	91 
000246 	144 	105 	91 	91 
000247 	144 	105 	91 	91 
000248 	144 	105 	91 	91 
000249 	144 	105 	91 	91 
000250 	144 	105 	91 	91 
000251 	144 	105 	91 	91 
000252 	144 	105 	91 	91 
000253 	144 	105 	91 	91 
000254 	144 	95 	91 	91 
000255 	144 	95 	91 	91 
000256 	145 	87 	76 	76 
000257 	145 	87 	76 	76 
000258 	145 	87 	76 	76 
000259 	134 	85 	91 	91 
000260 	134 	85 	91 	91 
000261 	134 	95 	91 	91 
000262 	134 	95 	91 	91 
000263 	134 	95 	91 	91 
000264 	134 	95 	91 	91 
000265 	134 	95 	91 	91 
000266 	134 	95 	91 	91 
000267 	137 	87 	75 	76 
000268 	137 	87 	75 	76 
000269 	137 	87 	75 	76 
000270 	137 	87 	75 	76 
000271 	126 	90 	108 	109 
000272 	134 	95 	91 	91 
000273 	134 	95 	91 	91 
000274 	134 	95 	91 	91 
000275 	134 	95 	91 	91 
000276 	134 	95 	91 	91 
