Identity  : 	id10271
Reference : 	gO805KoL2RM
Offset    : 	4
FV Conf   : 	13.176
ASD Conf  : 	6.313

FRAME 	X 	Y 	W 	H 
004681 	280 	80 	130 	130 
004682 	280 	80 	130 	130 
004683 	280 	80 	130 	130 
004684 	280 	80 	130 	130 
004685 	280 	80 	130 	130 
004686 	280 	80 	130 	130 
004687 	280 	80 	130 	130 
004688 	280 	80 	130 	130 
004689 	280 	80 	130 	130 
004690 	280 	80 	130 	130 
004691 	280 	80 	130 	130 
004692 	280 	80 	130 	130 
004693 	280 	80 	130 	130 
004694 	280 	80 	130 	130 
004695 	280 	80 	130 	130 
004696 	280 	80 	130 	130 
004697 	280 	80 	130 	130 
004698 	280 	80 	130 	130 
004699 	266 	80 	130 	130 
004700 	266 	80 	130 	130 
004701 	266 	80 	130 	130 
004702 	251 	80 	130 	130 
004703 	251 	80 	130 	130 
004704 	237 	94 	130 	130 
004705 	245 	102 	109 	109 
004706 	223 	94 	130 	130 
004707 	221 	90 	109 	109 
004708 	208 	80 	130 	130 
004709 	194 	80 	130 	130 
004710 	194 	80 	130 	130 
004711 	194 	80 	130 	130 
004712 	194 	80 	130 	130 
004713 	194 	80 	130 	130 
004714 	208 	94 	130 	130 
004715 	221 	102 	109 	109 
004716 	221 	102 	109 	109 
004717 	221 	102 	109 	109 
004718 	221 	102 	109 	109 
004719 	233 	102 	109 	109 
004720 	233 	102 	109 	109 
004721 	233 	102 	109 	109 
004722 	233 	102 	109 	109 
004723 	233 	102 	109 	109 
004724 	245 	102 	109 	109 
004725 	245 	102 	109 	109 
004726 	245 	102 	109 	109 
004727 	237 	94 	130 	130 
004728 	237 	94 	130 	130 
004729 	245 	102 	109 	109 
004730 	237 	94 	130 	130 
004731 	237 	94 	130 	130 
004732 	237 	94 	130 	130 
004733 	237 	94 	130 	130 
004734 	237 	94 	130 	130 
004735 	237 	94 	130 	130 
004736 	237 	94 	130 	130 
004737 	257 	102 	109 	109 
004738 	251 	94 	130 	130 
004739 	251 	94 	130 	130 
004740 	269 	102 	108 	109 
004741 	269 	102 	108 	109 
004742 	266 	94 	130 	130 
004743 	266 	94 	130 	130 
004744 	266 	94 	130 	130 
004745 	281 	102 	108 	109 
004746 	280 	94 	130 	130 
004747 	280 	94 	130 	130 
004748 	280 	94 	130 	130 
004749 	280 	94 	130 	130 
004750 	280 	94 	130 	130 
004751 	280 	94 	130 	130 
004752 	280 	94 	130 	130 
004753 	280 	94 	130 	130 
004754 	280 	94 	130 	130 
004755 	280 	94 	130 	130 
004756 	280 	94 	130 	130 
004757 	280 	94 	130 	130 
004758 	280 	94 	130 	130 
004759 	280 	94 	130 	130 
004760 	280 	94 	130 	130 
004761 	280 	94 	130 	130 
004762 	280 	94 	130 	130 
004763 	280 	94 	130 	130 
004764 	280 	94 	130 	130 
004765 	280 	94 	130 	130 
004766 	280 	94 	130 	130 
004767 	280 	94 	130 	130 
004768 	280 	94 	130 	130 
004769 	280 	94 	130 	130 
004770 	280 	80 	130 	130 
004771 	280 	80 	130 	130 
004772 	280 	80 	130 	130 
004773 	280 	80 	130 	130 
004774 	280 	80 	130 	130 
004775 	280 	80 	130 	130 
004776 	281 	102 	108 	109 
004777 	266 	80 	130 	130 
004778 	266 	80 	130 	130 
004779 	251 	80 	130 	130 
004780 	251 	80 	130 	130 
004781 	237 	94 	130 	130 
004782 	245 	102 	109 	109 
004783 	233 	102 	109 	109 
004784 	233 	102 	109 	109 
004785 	233 	102 	109 	109 
004786 	221 	102 	109 	109 
004787 	221 	102 	109 	109 
004788 	221 	102 	109 	109 
004789 	208 	94 	130 	130 
004790 	221 	102 	109 	109 
004791 	221 	102 	109 	109 
004792 	221 	102 	109 	109 
004793 	223 	94 	130 	130 
004794 	223 	94 	130 	130 
004795 	233 	114 	109 	109 
004796 	233 	114 	109 	109 
004797 	233 	114 	109 	109 
004798 	233 	114 	109 	109 
004799 	233 	114 	109 	109 
004800 	233 	114 	109 	109 
004801 	233 	114 	109 	109 
004802 	233 	114 	109 	109 
004803 	233 	114 	109 	109 
004804 	233 	114 	109 	109 
004805 	223 	109 	130 	130 
004806 	223 	109 	130 	130 
004807 	223 	109 	130 	130 
004808 	233 	114 	109 	109 
004809 	233 	114 	109 	109 
004810 	233 	114 	109 	109 
004811 	233 	114 	109 	109 
004812 	245 	114 	109 	109 
004813 	245 	114 	109 	109 
004814 	251 	94 	130 	130 
004815 	251 	94 	130 	130 
004816 	251 	94 	130 	130 
004817 	266 	94 	130 	130 
004818 	266 	94 	130 	130 
004819 	280 	94 	130 	130 
004820 	280 	94 	130 	130 
004821 	294 	94 	130 	130 
004822 	294 	94 	130 	130 
004823 	294 	94 	130 	130 
004824 	305 	114 	108 	109 
004825 	294 	94 	130 	130 
004826 	294 	94 	130 	130 
004827 	317 	114 	108 	109 
004828 	309 	94 	130 	130 
004829 	309 	94 	130 	130 
004830 	309 	109 	130 	130 
004831 	317 	114 	108 	109 
004832 	317 	114 	108 	109 
004833 	317 	114 	108 	109 
004834 	317 	114 	108 	109 
004835 	317 	114 	108 	109 
004836 	294 	94 	130 	130 
004837 	305 	114 	108 	109 
004838 	294 	94 	130 	130 
004839 	294 	94 	130 	130 
004840 	294 	94 	130 	130 
