Identity  : 	id10271
Reference : 	zWyD72sHVwA
Offset    : 	0
FV Conf   : 	18.475
ASD Conf  : 	6.806

FRAME 	X 	Y 	W 	H 
002030 	244 	65 	90 	91 
002031 	244 	65 	90 	91 
002032 	244 	65 	90 	91 
002033 	244 	65 	90 	91 
002034 	244 	65 	90 	91 
002035 	244 	65 	90 	91 
002036 	244 	65 	90 	91 
002037 	244 	65 	90 	91 
002038 	244 	75 	90 	91 
002039 	233 	66 	109 	109 
002040 	244 	75 	90 	91 
002041 	244 	75 	90 	91 
002042 	245 	66 	109 	109 
002043 	254 	75 	90 	91 
002044 	254 	75 	90 	91 
002045 	254 	75 	90 	91 
002046 	254 	75 	90 	91 
002047 	254 	75 	90 	91 
002048 	254 	75 	90 	91 
002049 	254 	75 	90 	91 
002050 	244 	75 	90 	91 
002051 	244 	75 	90 	91 
002052 	244 	75 	90 	91 
002053 	244 	75 	90 	91 
002054 	244 	75 	90 	91 
002055 	244 	75 	90 	91 
002056 	244 	75 	90 	91 
002057 	244 	75 	90 	91 
002058 	244 	75 	90 	91 
002059 	244 	75 	90 	91 
002060 	244 	75 	90 	91 
002061 	244 	75 	90 	91 
002062 	244 	75 	90 	91 
002063 	244 	75 	90 	91 
002064 	244 	75 	90 	91 
002065 	244 	75 	90 	91 
002066 	244 	75 	90 	91 
002067 	244 	85 	90 	91 
002068 	233 	78 	109 	109 
002069 	233 	78 	109 	109 
002070 	234 	75 	90 	91 
002071 	234 	75 	90 	91 
002072 	221 	66 	109 	109 
002073 	221 	66 	109 	109 
002074 	221 	66 	109 	109 
002075 	221 	66 	109 	109 
002076 	221 	66 	109 	109 
002077 	234 	85 	90 	91 
002078 	234 	85 	90 	91 
002079 	234 	85 	90 	91 
002080 	221 	66 	109 	109 
002081 	221 	66 	109 	109 
002082 	221 	66 	109 	109 
002083 	221 	66 	109 	109 
002084 	221 	66 	109 	109 
002085 	221 	66 	109 	109 
002086 	234 	75 	90 	91 
002087 	234 	65 	90 	91 
002088 	234 	65 	90 	91 
002089 	234 	65 	90 	91 
002090 	234 	65 	90 	91 
002091 	234 	55 	90 	91 
002092 	244 	65 	90 	91 
002093 	244 	65 	90 	91 
002094 	244 	55 	90 	91 
002095 	244 	55 	90 	91 
002096 	244 	55 	90 	91 
002097 	254 	65 	90 	91 
002098 	254 	65 	90 	91 
002099 	254 	65 	90 	91 
002100 	245 	54 	109 	109 
002101 	264 	65 	90 	91 
002102 	264 	65 	90 	91 
002103 	264 	65 	90 	91 
002104 	264 	65 	90 	91 
002105 	257 	66 	109 	109 
002106 	257 	66 	109 	109 
002107 	274 	75 	90 	91 
002108 	274 	75 	90 	91 
002109 	274 	75 	90 	91 
002110 	269 	66 	108 	109 
002111 	269 	66 	108 	109 
002112 	269 	66 	108 	109 
002113 	269 	54 	108 	109 
002114 	269 	54 	108 	109 
002115 	269 	54 	108 	109 
002116 	269 	54 	108 	109 
002117 	269 	54 	108 	109 
002118 	281 	54 	108 	109 
002119 	281 	54 	108 	109 
002120 	284 	65 	90 	91 
002121 	284 	65 	90 	91 
002122 	269 	54 	108 	109 
002123 	274 	65 	90 	91 
002124 	257 	54 	109 	109 
002125 	257 	66 	109 	109 
002126 	264 	75 	90 	91 
002127 	264 	75 	90 	91 
002128 	254 	75 	90 	91 
002129 	254 	75 	90 	91 
002130 	244 	75 	90 	91 
002131 	233 	66 	109 	109 
002132 	234 	75 	90 	91 
002133 	234 	75 	90 	91 
002134 	221 	66 	109 	109 
002135 	224 	85 	91 	91 
002136 	224 	85 	91 	91 
002137 	209 	78 	109 	109 
002138 	209 	78 	109 	109 
002139 	214 	85 	91 	91 
002140 	214 	85 	91 	91 
002141 	214 	85 	91 	91 
002142 	214 	85 	91 	91 
002143 	214 	85 	91 	91 
002144 	214 	85 	91 	91 
002145 	214 	75 	91 	91 
002146 	224 	85 	91 	91 
002147 	224 	85 	91 	91 
002148 	224 	85 	91 	91 
002149 	224 	85 	91 	91 
002150 	224 	85 	91 	91 
002151 	224 	85 	91 	91 
002152 	224 	75 	91 	91 
002153 	224 	75 	91 	91 
002154 	234 	85 	90 	91 
002155 	234 	85 	90 	91 
002156 	234 	85 	90 	91 
002157 	234 	75 	90 	91 
002158 	234 	75 	90 	91 
002159 	234 	75 	90 	91 
002160 	234 	75 	90 	91 
002161 	234 	75 	90 	91 
002162 	234 	75 	90 	91 
002163 	234 	75 	90 	91 
002164 	234 	75 	90 	91 
002165 	234 	75 	90 	91 
002166 	234 	75 	90 	91 
002167 	234 	75 	90 	91 
002168 	234 	75 	90 	91 
002169 	234 	75 	90 	91 
002170 	234 	75 	90 	91 
